# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 11758/213/11971
# Period: 1 Apr 2007 - 1 May 2019
# Hour Limiter: All included
# Month Limiter: (4,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     2.94,    0.578,    0.459,    0.476,    0.782,    0.374,    0.298
000-020  ,         ,    0.816,    0.587,    0.519,    0.757,    0.221,    0.221
010-030  ,         ,    0.655,    0.629,    0.434,    0.672,    0.085,    0.077
020-040  ,         ,    0.510,    0.485,    0.340,    0.570,    0.060,    0.094
030-050  ,         ,    0.646,    0.349,    0.323,    0.553,    0.094,    0.034
040-060  ,         ,    0.765,    0.723,    0.332,    0.748,    0.145,    0.017
050-070  ,         ,    0.850,    0.876,    0.612,    0.842,    0.170,    0.017
060-080  ,         ,    0.927,    0.902,    0.765,    1.004,    0.170,    0.060
070-090  ,         ,    0.953,    0.663,    0.655,    0.544,    0.213,    0.068
080-100  ,         ,    0.527,    0.476,    0.578,    0.816,    0.187,    0.051
090-110  ,         ,    0.425,    0.451,    0.366,    0.383,    0.136,    0.051
100-120  ,         ,    0.349,    0.238,    0.230,    0.196,    0.060,    0.034
110-130  ,         ,    0.306,    0.162,    0.128,    0.179,    0.077,    0.009
120-140  ,         ,    0.204,    0.153,    0.094,    0.136,    0.034,    0.009
130-150  ,         ,    0.281,    0.204,    0.136,    0.366,    0.043,    0.026
140-160  ,         ,    0.323,    0.213,    0.111,    0.306,    0.085,    0.026
150-170  ,         ,    0.306,    0.128,    0.213,    0.306,    0.145,    0.077
160-180  ,         ,    0.289,    0.264,    0.264,    0.417,    0.238,    0.187
170-190  ,         ,    0.612,    0.272,    0.281,    0.476,    0.187,    0.145
180-200  ,         ,    0.536,    0.527,    0.451,    0.723,    0.289,    0.153
190-210  ,         ,    0.816,    0.604,    0.485,    0.978,    0.468,    0.145
200-220  ,         ,    0.919,    0.842,    0.825,    1.863,    0.468,    0.247
210-230  ,         ,    0.893,    1.106,    0.978,    1.539,    0.383,    0.153
220-240  ,         ,    0.833,    1.012,    1.063,    1.191,    0.357,    0.238
230-250  ,         ,    0.561,    0.595,    0.442,    1.199,    0.281,    0.451
240-260  ,         ,    0.527,    0.357,    0.357,    1.072,    0.663,    0.672
250-270  ,         ,    0.340,    0.323,    0.374,    0.936,    0.587,    0.519
260-280  ,         ,    0.315,    0.315,    0.357,    1.080,    0.434,    0.281
270-290  ,         ,    0.408,    0.306,    0.417,    0.953,    0.289,    0.340
280-300  ,         ,    0.213,    0.391,    0.408,    0.833,    0.221,    0.306
290-310  ,         ,    0.204,    0.434,    0.502,    1.063,    0.323,    0.323
300-320  ,         ,    0.349,    0.425,    0.476,    1.072,    0.578,    0.425
310-330  ,         ,    0.238,    0.289,    0.485,    1.301,    1.174,    0.400
320-340  ,         ,    0.281,    0.298,    0.451,    1.174,    0.638,    0.434
330-350  ,         ,    0.417,    0.281,    0.289,    0.706,    0.315,    0.272
340-360  ,         ,    0.510,    0.349,    0.357,    0.774,    0.238,    0.323
