# Windrose Data Table (Percent Frequency) for SUFFIELD AIRPORT (CYSD)
# Observations Used/Missing/Total: 904/0/904
# Period: 3 Dec 2007 - 18 Dec 2014
# Hour Limiter: All included
# Month Limiter: (12,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:43 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     2.65,    0.111,    0.000,    0.111,    0.774,    0.221,    0.221
000-020  ,         ,    0.221,    0.111,    0.221,    0.664,    0.442,    0.442
010-030  ,         ,    0.000,    0.000,    0.332,    0.774,    1.106,    0.332
020-040  ,         ,    0.664,    0.332,    0.221,    0.111,    0.221,    0.000
030-050  ,         ,    0.221,    0.332,    0.553,    0.332,    0.221,    0.111
040-060  ,         ,    0.000,    0.442,    0.442,    0.332,    0.332,    0.000
050-070  ,         ,    0.000,    0.332,    0.221,    0.111,    0.111,    0.000
060-080  ,         ,    0.111,    0.553,    0.332,    0.221,    0.000,    0.000
070-090  ,         ,    0.553,    0.332,    0.332,    0.664,    0.000,    0.000
080-100  ,         ,    0.885,    0.553,    0.111,    0.111,    0.000,    0.000
090-110  ,         ,    0.442,    1.106,    0.774,    1.217,    0.111,    0.000
100-120  ,         ,    0.553,    1.106,    1.549,    0.996,    0.000,    0.000
110-130  ,         ,    0.553,    0.996,    0.332,    0.221,    0.000,    0.000
120-140  ,         ,    0.332,    0.221,    0.000,    0.111,    0.000,    0.000
130-150  ,         ,    0.000,    0.221,    0.332,    0.111,    0.111,    0.000
140-160  ,         ,    0.221,    0.221,    0.221,    0.000,    0.000,    0.000
150-170  ,         ,    0.000,    0.221,    0.221,    0.221,    0.000,    0.000
160-180  ,         ,    0.332,    1.106,    0.221,    0.553,    0.000,    0.111
170-190  ,         ,    0.332,    0.332,    0.664,    0.332,    0.332,    0.553
180-200  ,         ,    0.221,    0.885,    0.664,    0.553,    0.221,    0.111
190-210  ,         ,    0.996,    0.664,    0.332,    2.323,    0.553,    0.111
200-220  ,         ,    0.885,    0.664,    0.553,    1.881,    0.553,    0.664
210-230  ,         ,    0.885,    0.221,    0.774,    1.881,    0.664,    0.442
220-240  ,         ,    0.885,    0.332,    0.442,    0.664,    0.221,    0.000
230-250  ,         ,    1.549,    1.438,    0.442,    0.774,    0.111,    0.111
240-260  ,         ,    1.106,    0.885,    0.442,    0.885,    0.332,    0.111
250-270  ,         ,    1.217,    1.549,    1.327,    0.553,    0.553,    0.442
260-280  ,         ,    0.885,    1.327,    0.553,    0.332,    0.442,    0.000
270-290  ,         ,    0.885,    0.885,    0.221,    0.774,    0.442,    0.000
280-300  ,         ,    0.553,    0.885,    1.106,    0.885,    0.111,    0.111
290-310  ,         ,    0.996,    0.774,    1.327,    0.664,    0.553,    0.000
300-320  ,         ,    0.332,    0.664,    0.442,    0.442,    0.332,    0.111
310-330  ,         ,    0.553,    0.442,    0.996,    1.549,    0.000,    0.000
320-340  ,         ,    0.332,    0.332,    0.885,    1.881,    0.111,    0.000
330-350  ,         ,    0.111,    0.553,    0.332,    1.549,    0.221,    0.221
340-360  ,         ,    0.221,    0.221,    0.111,    0.774,    0.553,    0.221
