# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 12171/163/12334
# Period: 1 Feb 2007 - 1 Mar 2019
# Hour Limiter: All included
# Month Limiter: (2,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     5.49,    1.183,    0.822,    0.879,    1.356,    0.378,    0.025
000-020  ,         ,    1.290,    0.723,    0.501,    0.707,    0.115,    0.000
010-030  ,         ,    0.854,    0.518,    0.296,    0.312,    0.066,    0.000
020-040  ,         ,    0.805,    0.419,    0.173,    0.320,    0.016,    0.000
030-050  ,         ,    0.904,    0.320,    0.164,    0.181,    0.008,    0.000
040-060  ,         ,    0.961,    0.904,    0.263,    0.214,    0.000,    0.000
050-070  ,         ,    1.208,    1.068,    0.592,    0.559,    0.041,    0.066
060-080  ,         ,    1.274,    0.953,    0.542,    0.616,    0.090,    0.033
070-090  ,         ,    0.739,    0.542,    0.353,    0.370,    0.033,    0.008
080-100  ,         ,    0.477,    0.452,    0.452,    0.345,    0.008,    0.000
090-110  ,         ,    0.435,    0.296,    0.140,    0.107,    0.000,    0.000
100-120  ,         ,    0.271,    0.140,    0.066,    0.033,    0.000,    0.000
110-130  ,         ,    0.296,    0.082,    0.033,    0.025,    0.000,    0.000
120-140  ,         ,    0.205,    0.041,    0.033,    0.008,    0.000,    0.000
130-150  ,         ,    0.189,    0.049,    0.033,    0.049,    0.008,    0.000
140-160  ,         ,    0.214,    0.033,    0.041,    0.074,    0.008,    0.008
150-170  ,         ,    0.304,    0.033,    0.066,    0.033,    0.025,    0.008
160-180  ,         ,    0.353,    0.049,    0.058,    0.082,    0.033,    0.025
170-190  ,         ,    0.616,    0.214,    0.090,    0.214,    0.090,    0.066
180-200  ,         ,    0.928,    0.477,    0.271,    0.411,    0.164,    0.148
190-210  ,         ,    1.274,    0.575,    0.477,    1.019,    0.509,    0.197
200-220  ,         ,    1.323,    1.183,    1.035,    2.087,    0.871,    0.485
210-230  ,         ,    1.389,    1.446,    1.331,    2.580,    0.838,    0.238
220-240  ,         ,    1.454,    1.561,    1.421,    2.038,    0.403,    0.271
230-250  ,         ,    0.904,    1.076,    0.797,    0.986,    0.156,    0.238
240-260  ,         ,    0.739,    0.452,    0.378,    0.452,    0.214,    0.205
250-270  ,         ,    0.427,    0.320,    0.222,    0.435,    0.263,    0.181
260-280  ,         ,    0.583,    0.493,    0.304,    0.575,    0.173,    0.148
270-290  ,         ,    0.394,    0.460,    0.403,    0.682,    0.197,    0.074
280-300  ,         ,    0.370,    0.419,    0.435,    0.666,    0.230,    0.140
290-310  ,         ,    0.435,    0.509,    0.575,    0.887,    0.090,    0.082
300-320  ,         ,    0.370,    0.345,    0.674,    1.109,    0.189,    0.107
310-330  ,         ,    0.509,    0.419,    0.608,    1.093,    0.214,    0.173
320-340  ,         ,    0.731,    0.501,    0.435,    1.142,    0.386,    0.255
330-350  ,         ,    0.945,    0.649,    0.797,    0.715,    0.320,    0.312
340-360  ,         ,    1.142,    0.731,    0.600,    0.772,    0.214,    0.107
