# Windrose Data Table (Percent Frequency) for SCHULER AGDM     (CXSC)
# Observations Used/Missing/Total: 8598/4/8602
# Period: 1 Feb 2007 - 1 Mar 2019
# Hour Limiter: All included
# Month Limiter: (2,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:49 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     7.48,    0.407,    0.302,    0.302,    0.593,    0.174,    0.081
000-020  ,         ,    0.488,    0.233,    0.244,    0.314,    0.058,    0.012
010-030  ,         ,    0.663,    0.244,    0.326,    0.314,    0.093,    0.000
020-040  ,         ,    0.523,    0.337,    0.291,    0.256,    0.023,    0.000
030-050  ,         ,    0.465,    0.314,    0.198,    0.337,    0.000,    0.000
040-060  ,         ,    0.570,    0.395,    0.198,    0.337,    0.000,    0.000
050-070  ,         ,    0.628,    0.454,    0.430,    0.419,    0.012,    0.000
060-080  ,         ,    0.675,    0.442,    0.395,    0.465,    0.047,    0.047
070-090  ,         ,    0.837,    0.442,    0.512,    0.523,    0.140,    0.012
080-100  ,         ,    0.942,    0.535,    0.361,    0.896,    0.198,    0.116
090-110  ,         ,    1.047,    0.488,    0.337,    0.442,    0.174,    0.070
100-120  ,         ,    0.814,    0.407,    0.291,    0.372,    0.081,    0.012
110-130  ,         ,    0.651,    0.268,    0.186,    0.244,    0.093,    0.035
120-140  ,         ,    0.721,    0.233,    0.198,    0.256,    0.140,    0.023
130-150  ,         ,    0.477,    0.244,    0.047,    0.256,    0.116,    0.058
140-160  ,         ,    0.593,    0.209,    0.070,    0.116,    0.012,    0.000
150-170  ,         ,    0.547,    0.174,    0.023,    0.047,    0.000,    0.000
160-180  ,         ,    0.547,    0.128,    0.023,    0.128,    0.023,    0.000
170-190  ,         ,    0.616,    0.361,    0.151,    0.081,    0.012,    0.000
180-200  ,         ,    0.698,    0.186,    0.198,    0.081,    0.000,    0.012
190-210  ,         ,    0.465,    0.314,    0.186,    0.326,    0.047,    0.012
200-220  ,         ,    0.384,    0.291,    0.233,    0.640,    0.221,    0.058
210-230  ,         ,    0.419,    0.244,    0.302,    0.954,    0.570,    0.395
220-240  ,         ,    0.326,    0.361,    0.465,    1.814,    1.884,    1.314
230-250  ,         ,    0.361,    0.372,    0.419,    2.524,    1.779,    1.372
240-260  ,         ,    0.256,    0.384,    0.651,    2.943,    2.000,    0.942
250-270  ,         ,    0.302,    0.547,    0.756,    3.710,    1.047,    0.477
260-280  ,         ,    0.384,    0.395,    0.872,    2.140,    0.651,    0.093
270-290  ,         ,    0.314,    0.395,    0.861,    1.884,    0.361,    0.198
280-300  ,         ,    0.314,    0.361,    0.814,    1.605,    0.361,    0.151
290-310  ,         ,    0.337,    0.326,    0.547,    1.524,    0.616,    0.244
300-320  ,         ,    0.256,    0.326,    0.686,    1.058,    0.558,    0.279
310-330  ,         ,    0.314,    0.326,    0.291,    0.954,    0.430,    0.268
320-340  ,         ,    0.395,    0.244,    0.430,    0.488,    0.291,    0.233
330-350  ,         ,    0.361,    0.302,    0.256,    0.500,    0.256,    0.151
340-360  ,         ,    0.233,    0.337,    0.268,    0.465,    0.233,    0.081
