# Windrose Data Table (Percent Frequency) for SCHULER AGDM     (CXSC)
# Observations Used/Missing/Total: 9465/9/9474
# Period: 1 Jul 2007 - 1 Aug 2019
# Hour Limiter: All included
# Month Limiter: (7,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:49 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     5.21,    0.507,    0.454,    0.306,    0.644,    0.074,    0.032
000-020  ,         ,    0.634,    0.507,    0.391,    0.644,    0.085,    0.011
010-030  ,         ,    0.539,    0.275,    0.338,    0.328,    0.095,    0.000
020-040  ,         ,    0.666,    0.370,    0.306,    0.412,    0.011,    0.011
030-050  ,         ,    0.771,    0.401,    0.349,    0.391,    0.011,    0.000
040-060  ,         ,    0.560,    0.328,    0.201,    0.254,    0.000,    0.000
050-070  ,         ,    0.708,    0.349,    0.232,    0.296,    0.000,    0.000
060-080  ,         ,    0.729,    0.380,    0.306,    0.433,    0.032,    0.000
070-090  ,         ,    0.940,    0.718,    0.306,    0.454,    0.053,    0.011
080-100  ,         ,    0.887,    0.792,    0.644,    0.866,    0.169,    0.032
090-110  ,         ,    0.993,    0.792,    0.814,    1.236,    0.180,    0.053
100-120  ,         ,    0.951,    0.634,    0.465,    0.708,    0.085,    0.000
110-130  ,         ,    0.697,    0.475,    0.380,    0.528,    0.085,    0.042
120-140  ,         ,    0.729,    0.380,    0.412,    0.518,    0.148,    0.032
130-150  ,         ,    0.803,    0.465,    0.275,    0.475,    0.053,    0.011
140-160  ,         ,    0.803,    0.275,    0.264,    0.359,    0.095,    0.000
150-170  ,         ,    0.771,    0.328,    0.254,    0.201,    0.095,    0.000
160-180  ,         ,    0.803,    0.412,    0.169,    0.137,    0.042,    0.000
170-190  ,         ,    0.655,    0.349,    0.328,    0.243,    0.021,    0.000
180-200  ,         ,    0.771,    0.401,    0.275,    0.222,    0.000,    0.000
190-210  ,         ,    0.549,    0.391,    0.486,    0.306,    0.042,    0.000
200-220  ,         ,    0.391,    0.370,    0.412,    0.507,    0.095,    0.000
210-230  ,         ,    0.401,    0.317,    0.539,    1.310,    0.137,    0.011
220-240  ,         ,    0.465,    0.497,    0.644,    1.680,    0.412,    0.169
230-250  ,         ,    0.423,    0.454,    0.951,    1.891,    0.571,    0.423
240-260  ,         ,    0.465,    0.771,    1.057,    2.145,    0.380,    0.486
250-270  ,         ,    0.486,    0.581,    1.057,    1.955,    0.306,    0.285
260-280  ,         ,    0.528,    0.560,    0.866,    1.236,    0.211,    0.306
270-290  ,         ,    0.380,    0.718,    0.676,    1.342,    0.349,    0.158
280-300  ,         ,    0.433,    0.592,    0.676,    1.479,    0.338,    0.201
290-310  ,         ,    0.549,    0.592,    0.782,    1.099,    0.306,    0.074
300-320  ,         ,    0.296,    0.655,    0.613,    0.951,    0.528,    0.190
310-330  ,         ,    0.454,    0.539,    0.465,    0.940,    0.486,    0.211
320-340  ,         ,    0.454,    0.475,    0.581,    0.824,    0.285,    0.116
330-350  ,         ,    0.475,    0.528,    0.539,    0.687,    0.137,    0.063
340-360  ,         ,    0.539,    0.454,    0.370,    0.549,    0.127,    0.053
