# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 10884/330/11214
# Period: 1 Jun 2007 - 1 Jul 2019
# Hour Limiter: All included
# Month Limiter: (6,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     2.83,    0.496,    0.423,    0.294,    0.570,    0.129,    0.046
000-020  ,         ,    0.606,    0.570,    0.368,    0.579,    0.165,    0.046
010-030  ,         ,    0.671,    0.423,    0.358,    0.441,    0.074,    0.000
020-040  ,         ,    0.515,    0.413,    0.303,    0.478,    0.165,    0.009
030-050  ,         ,    0.524,    0.340,    0.266,    0.570,    0.083,    0.028
040-060  ,         ,    0.717,    0.404,    0.423,    0.616,    0.046,    0.018
050-070  ,         ,    0.698,    0.450,    0.368,    0.542,    0.147,    0.074
060-080  ,         ,    0.616,    0.707,    0.386,    0.652,    0.165,    0.046
070-090  ,         ,    0.524,    0.579,    0.395,    0.524,    0.147,    0.092
080-100  ,         ,    0.487,    0.625,    0.404,    0.735,    0.110,    0.055
090-110  ,         ,    0.487,    0.413,    0.377,    0.450,    0.074,    0.028
100-120  ,         ,    0.478,    0.349,    0.294,    0.413,    0.064,    0.009
110-130  ,         ,    0.386,    0.331,    0.138,    0.285,    0.037,    0.000
120-140  ,         ,    0.340,    0.230,    0.211,    0.266,    0.037,    0.000
130-150  ,         ,    0.395,    0.294,    0.129,    0.119,    0.064,    0.028
140-160  ,         ,    0.322,    0.175,    0.138,    0.193,    0.064,    0.009
150-170  ,         ,    0.616,    0.312,    0.147,    0.211,    0.147,    0.055
160-180  ,         ,    0.634,    0.276,    0.266,    0.266,    0.175,    0.092
170-190  ,         ,    0.717,    0.395,    0.413,    0.505,    0.147,    0.110
180-200  ,         ,    0.680,    0.597,    0.459,    0.606,    0.156,    0.064
190-210  ,         ,    0.873,    0.919,    0.652,    0.845,    0.239,    0.119
200-220  ,         ,    1.103,    1.075,    0.900,    1.534,    0.423,    0.193
210-230  ,         ,    1.406,    1.378,    1.148,    1.534,    0.331,    0.230
220-240  ,         ,    1.424,    1.580,    1.286,    1.470,    0.441,    0.423
230-250  ,         ,    0.900,    0.919,    0.707,    1.433,    0.551,    0.505
240-260  ,         ,    0.864,    0.854,    0.588,    1.617,    0.662,    0.689
250-270  ,         ,    0.515,    0.689,    0.643,    1.240,    0.533,    0.441
260-280  ,         ,    0.524,    0.588,    0.597,    1.277,    0.707,    0.368
270-290  ,         ,    0.450,    0.377,    0.413,    1.259,    0.579,    0.248
280-300  ,         ,    0.230,    0.340,    0.487,    1.057,    0.432,    0.266
290-310  ,         ,    0.239,    0.368,    0.588,    1.194,    0.377,    0.239
300-320  ,         ,    0.230,    0.377,    0.533,    1.204,    0.331,    0.294
310-330  ,         ,    0.294,    0.303,    0.257,    0.919,    0.221,    0.349
320-340  ,         ,    0.312,    0.340,    0.221,    0.551,    0.211,    0.386
330-350  ,         ,    0.368,    0.266,    0.294,    0.616,    0.276,    0.119
340-360  ,         ,    0.276,    0.239,    0.165,    0.551,    0.119,    0.092
