# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 11948/174/12122
# Period: 1 Nov 2007 - 30 Nov 2019
# Hour Limiter: All included
# Month Limiter: (11,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     3.19,    0.636,    0.862,    0.845,    0.787,    0.167,    0.092
000-020  ,         ,    0.686,    0.578,    0.770,    0.569,    0.075,    0.109
010-030  ,         ,    0.368,    0.385,    0.368,    0.477,    0.142,    0.084
020-040  ,         ,    0.452,    0.393,    0.176,    0.494,    0.067,    0.025
030-050  ,         ,    0.410,    0.293,    0.243,    0.418,    0.084,    0.017
040-060  ,         ,    0.427,    0.427,    0.352,    0.770,    0.243,    0.000
050-070  ,         ,    0.552,    0.544,    0.435,    0.435,    0.059,    0.008
060-080  ,         ,    0.611,    0.511,    0.435,    0.285,    0.008,    0.008
070-090  ,         ,    0.410,    0.460,    0.310,    0.184,    0.000,    0.000
080-100  ,         ,    0.460,    0.335,    0.209,    0.167,    0.000,    0.000
090-110  ,         ,    0.552,    0.209,    0.075,    0.100,    0.000,    0.000
100-120  ,         ,    0.259,    0.075,    0.017,    0.008,    0.000,    0.000
110-130  ,         ,    0.276,    0.109,    0.017,    0.008,    0.000,    0.000
120-140  ,         ,    0.251,    0.025,    0.025,    0.008,    0.000,    0.000
130-150  ,         ,    0.226,    0.050,    0.008,    0.017,    0.000,    0.000
140-160  ,         ,    0.184,    0.067,    0.025,    0.050,    0.008,    0.000
150-170  ,         ,    0.343,    0.084,    0.033,    0.059,    0.033,    0.008
160-180  ,         ,    0.377,    0.159,    0.042,    0.100,    0.059,    0.017
170-190  ,         ,    0.644,    0.368,    0.251,    0.285,    0.067,    0.033
180-200  ,         ,    1.063,    0.619,    0.444,    0.695,    0.201,    0.100
190-210  ,         ,    1.013,    0.963,    0.653,    1.674,    0.644,    0.368
200-220  ,         ,    1.004,    1.255,    1.339,    3.247,    1.348,    0.820
210-230  ,         ,    1.339,    1.808,    2.168,    3.741,    1.063,    0.728
220-240  ,         ,    1.214,    1.557,    2.059,    2.519,    0.544,    0.377
230-250  ,         ,    0.812,    0.845,    0.963,    0.845,    0.226,    0.293
240-260  ,         ,    0.711,    0.737,    0.435,    0.527,    0.218,    0.335
250-270  ,         ,    0.561,    0.519,    0.485,    0.552,    0.251,    0.385
260-280  ,         ,    0.544,    0.519,    0.561,    0.887,    0.243,    0.410
270-290  ,         ,    0.519,    0.485,    0.485,    1.155,    0.243,    0.100
280-300  ,         ,    0.385,    0.477,    0.502,    1.214,    0.276,    0.176
290-310  ,         ,    0.444,    0.460,    0.653,    1.398,    0.343,    0.134
300-320  ,         ,    0.310,    0.427,    0.586,    1.080,    0.293,    0.218
310-330  ,         ,    0.285,    0.435,    0.460,    1.038,    0.301,    0.218
320-340  ,         ,    0.393,    0.435,    0.427,    1.013,    0.226,    0.134
330-350  ,         ,    0.452,    0.544,    0.310,    0.536,    0.167,    0.059
340-360  ,         ,    0.477,    0.561,    0.385,    0.578,    0.126,    0.126
