# Windrose Data Table (Percent Frequency) for SCHULER AGDM     (CXSC)
# Observations Used/Missing/Total: 9487/3/9490
# Period: 1 Oct 2007 - 1 Nov 2019
# Hour Limiter: All included
# Month Limiter: (10,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:49 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     4.89,    0.148,    0.221,    0.221,    0.285,    0.126,    0.042
000-020  ,         ,    0.242,    0.211,    0.158,    0.211,    0.116,    0.000
010-030  ,         ,    0.306,    0.285,    0.169,    0.232,    0.053,    0.000
020-040  ,         ,    0.264,    0.200,    0.137,    0.295,    0.042,    0.000
030-050  ,         ,    0.253,    0.169,    0.137,    0.285,    0.053,    0.011
040-060  ,         ,    0.379,    0.105,    0.105,    0.253,    0.063,    0.000
050-070  ,         ,    0.401,    0.158,    0.169,    0.169,    0.084,    0.011
060-080  ,         ,    0.474,    0.190,    0.148,    0.211,    0.000,    0.000
070-090  ,         ,    0.527,    0.211,    0.126,    0.137,    0.042,    0.011
080-100  ,         ,    0.748,    0.264,    0.242,    0.474,    0.095,    0.000
090-110  ,         ,    0.812,    0.274,    0.295,    0.611,    0.369,    0.074
100-120  ,         ,    0.696,    0.306,    0.232,    0.432,    0.137,    0.084
110-130  ,         ,    0.601,    0.232,    0.190,    0.516,    0.053,    0.042
120-140  ,         ,    0.611,    0.190,    0.253,    0.369,    0.169,    0.095
130-150  ,         ,    0.559,    0.306,    0.348,    0.580,    0.200,    0.042
140-160  ,         ,    0.348,    0.295,    0.200,    0.264,    0.074,    0.032
150-170  ,         ,    0.706,    0.285,    0.253,    0.316,    0.084,    0.000
160-180  ,         ,    0.780,    0.443,    0.369,    0.369,    0.032,    0.011
170-190  ,         ,    0.738,    0.411,    0.411,    0.348,    0.074,    0.000
180-200  ,         ,    0.632,    0.569,    0.358,    0.411,    0.074,    0.011
190-210  ,         ,    0.527,    0.432,    0.474,    0.675,    0.095,    0.021
200-220  ,         ,    0.495,    0.264,    0.485,    1.075,    0.306,    0.032
210-230  ,         ,    0.401,    0.369,    0.611,    1.908,    0.717,    0.369
220-240  ,         ,    0.369,    0.358,    0.527,    2.403,    1.602,    0.717
230-250  ,         ,    0.337,    0.401,    0.601,    3.025,    1.771,    0.980
240-260  ,         ,    0.169,    0.379,    0.917,    3.932,    1.297,    0.748
250-270  ,         ,    0.337,    0.411,    0.917,    2.688,    0.769,    0.316
260-280  ,         ,    0.295,    0.559,    0.822,    2.013,    0.611,    0.095
270-290  ,         ,    0.137,    0.411,    0.717,    1.813,    0.516,    0.063
280-300  ,         ,    0.274,    0.485,    0.485,    1.813,    0.685,    0.390
290-310  ,         ,    0.316,    0.432,    0.527,    1.244,    0.780,    0.569
300-320  ,         ,    0.327,    0.516,    0.559,    1.286,    0.812,    0.685
310-330  ,         ,    0.358,    0.485,    0.495,    1.170,    0.748,    0.980
320-340  ,         ,    0.285,    0.327,    0.379,    0.822,    0.390,    0.527
330-350  ,         ,    0.221,    0.200,    0.190,    0.516,    0.411,    0.274
340-360  ,         ,    0.221,    0.169,    0.274,    0.453,    0.264,    0.242
