# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 10587/304/10891
# Period: 1 Sep 2007 - 1 Oct 2019
# Hour Limiter: All included
# Month Limiter: (9,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     5.37,    0.661,    0.614,    0.510,    0.916,    0.179,    0.066
000-020  ,         ,    0.737,    0.510,    0.661,    1.077,    0.217,    0.047
010-030  ,         ,    0.642,    0.614,    0.397,    0.614,    0.085,    0.028
020-040  ,         ,    0.860,    0.529,    0.368,    0.520,    0.227,    0.047
030-050  ,         ,    0.803,    0.548,    0.378,    0.699,    0.208,    0.104
040-060  ,         ,    0.831,    0.548,    0.425,    0.822,    0.085,    0.009
050-070  ,         ,    0.897,    0.586,    0.472,    0.623,    0.142,    0.000
060-080  ,         ,    0.897,    0.529,    0.387,    0.567,    0.038,    0.000
070-090  ,         ,    0.614,    0.557,    0.312,    0.434,    0.019,    0.000
080-100  ,         ,    0.642,    0.406,    0.189,    0.227,    0.038,    0.028
090-110  ,         ,    0.425,    0.472,    0.161,    0.123,    0.009,    0.000
100-120  ,         ,    0.340,    0.312,    0.094,    0.123,    0.019,    0.000
110-130  ,         ,    0.406,    0.198,    0.066,    0.113,    0.000,    0.000
120-140  ,         ,    0.349,    0.142,    0.085,    0.028,    0.000,    0.000
130-150  ,         ,    0.567,    0.179,    0.094,    0.151,    0.000,    0.000
140-160  ,         ,    0.463,    0.208,    0.094,    0.142,    0.085,    0.019
150-170  ,         ,    0.510,    0.189,    0.179,    0.208,    0.113,    0.047
160-180  ,         ,    0.652,    0.444,    0.217,    0.378,    0.123,    0.047
170-190  ,         ,    0.935,    0.425,    0.217,    0.463,    0.227,    0.085
180-200  ,         ,    1.171,    0.661,    0.434,    0.718,    0.264,    0.047
190-210  ,         ,    1.285,    0.784,    0.633,    1.020,    0.198,    0.047
200-220  ,         ,    1.492,    1.256,    1.171,    2.305,    0.368,    0.104
210-230  ,         ,    1.691,    1.540,    1.615,    2.106,    0.331,    0.132
220-240  ,         ,    1.445,    1.691,    1.124,    1.455,    0.293,    0.198
230-250  ,         ,    1.030,    0.699,    0.699,    0.926,    0.520,    0.425
240-260  ,         ,    0.793,    0.671,    0.387,    0.888,    0.312,    0.557
250-270  ,         ,    0.557,    0.482,    0.444,    0.897,    0.378,    0.246
260-280  ,         ,    0.576,    0.453,    0.491,    0.775,    0.340,    0.208
270-290  ,         ,    0.529,    0.378,    0.416,    0.642,    0.198,    0.066
280-300  ,         ,    0.387,    0.387,    0.416,    0.623,    0.151,    0.076
290-310  ,         ,    0.264,    0.482,    0.425,    0.623,    0.189,    0.085
300-320  ,         ,    0.302,    0.529,    0.378,    0.690,    0.189,    0.123
310-330  ,         ,    0.321,    0.482,    0.359,    0.775,    0.189,    0.028
320-340  ,         ,    0.349,    0.378,    0.378,    0.831,    0.264,    0.076
330-350  ,         ,    0.520,    0.283,    0.397,    0.642,    0.189,    0.094
340-360  ,         ,    0.661,    0.340,    0.264,    0.633,    0.170,    0.009
