h	T	P	rho	mu
-2000	301.2	127800	1.478	1.851
-1000	294.65	113900	1.347	1.821
0	288.15	101300	1.225	1.789
1000	281.65	89880	1.112	1.758
2000	275.15	79500	1.007	1.726
3000	268.66	70120	0.9093	1.694
4000	262.17	61660	0.8194	1.661
5000	255.68	54050	0.7364	1.628
6000	249.19	47220	0.6601	1.595
7000	242.7	41110	0.59	1.561
8000	236.21	35650	0.5258	1.527
9000	229.73	30800	0.4671	1.493
10000	223.25	26500	0.4135	1.458
12000	216.6	19400	0.3119	1.422
14000	216.6	14170	0.2279	1.422
16000	216.6	10350	0.1665	1.422
18000	216.6	7565	0.1216	1.422
20000	216.6	5529	0.08891	1.422
22000	218.6	4047	0.06451	1.432
24000	220.6	2972	0.04694	1.443
26000	222.5	2188	0.03426	1.454
28000	224.5	1616	0.02508	1.465
30000	226.5	1197	0.01841	1.475
32000	228.5	889	0.01355	1.486
34000	233.7	663.4	0.009887	1.514
36000	239.3	498.5	0.007257	1.543
38000	244.8	377.1	0.005366	1.572
40000	250.4	287.1	0.003995	1.601
42000	255.9	220	0.002995	1.629
44000	261.4	169.5	0.002259	1.657
46000	266.9	131.3	0.001714	1.685
48000	270.6	102.3	0.001317	1.704
50000	270.6	79.77	0.001027	1.704
52000	269	62.21	0.0008055	1.696
54000	263.5	48.33	0.0006389	1.668
56000	258	37.36	0.0005044	1.64
58000	252.5	28.72	0.0003962	1.612
60000	247	21.96	0.0003096	1.584
62000	241.5	16.69	0.0002407	1.555
64000	236	12.6	0.000186	1.526
66000	230.5	9.459	0.0001429	1.497
68000	225.1	7.051	0.0001091	1.467
70000	219.6	5.22	0.00008281	1.438
72000	214.3	3.835	0.00006236	1.408
74000	210.3	2.8	0.00004637	1.387
76000	206.4	2.033	0.0000343	1.365
78000	202.5	1.467	0.00002523	1.343
80000	198.6	1.052	0.00001845	1.321
82000	194.7	0.7498	0.00001341	1.298
84000	190.8	0.5308	0.00000969	1.276
86000	186.9	0.3732	0.000006955	1.253
86000.1	186.9	0.3732	0	1.253
