# Coeffficients from NESC-RP-12-00770, Volume II, Table 74 - GEM-T1 model
Degree	Order	C	S
2	0	-4.8416499E-04	0.0000000E+00
2	1	0.0000000E+00	0.0000000E+00
2	2	2.4389280E-06	-1.3998397E-06
3	0	9.5723751E-07	0.0000000E+00
3	1	2.0297737E-06	2.4959463E-07
3	2	9.0354910E-07	-6.2041982E-07
3	3	7.2098662E-07	1.4131694E-06
4	0	5.3873219E-07	0.0000000E+00
4	1	-5.3342722E-07	-4.7511891E-07
4	2	3.4700208E-07	6.6403042E-07
4	3	9.9097790E-07	-2.0062149E-07
4	4	-1.9003480E-07	3.0845955E-07
5	0	6.8780161E-08	0.0000000E+00
5	1	-5.8950310E-08	-9.5543463E-08
5	2	6.5579025E-07	-3.2340559E-07
5	3	-4.4820358E-07	-2.1513633E-07
5	4	-2.9482361E-07	5.2408737E-08
5	5	1.7775628E-07	-6.6602811E-07
6	0	-1.4810038E-07	0.0000000E+00
6	1	-8.1375094E-08	2.3890050E-08
6	2	5.1609578E-08	-3.7499560E-07
6	3	6.1970909E-08	4.6429830E-09
6	4	-9.2797469E-08	-4.7330695E-07
6	5	-2.6576497E-07	-5.3774724E-07
6	6	9.0593110E-09	-2.3633442E-07
7	0	9.0533705E-08	0.0000000E+00
7	1	2.7709714E-07	9.7817738E-08
7	2	3.1771079E-07	9.1608267E-08
7	3	2.5074289E-07	-2.0916391E-07
7	4	-2.7374044E-07	-1.2202073E-07
7	5	3.4749784E-09	1.9651896E-08
7	6	-3.5785266E-07	1.5091751E-07
7	7	1.5976040E-09	2.2001281E-08
8	0	4.5902321E-08	0.0000000E+00
8	1	2.8856051E-08	5.4722278E-08
8	2	7.0380074E-08	6.8449357E-08
8	3	-1.9966400E-08	-8.6936688E-08
8	4	-2.4606388E-07	6.7745274E-08
8	5	-2.4933453E-08	8.5300324E-08
8	6	-6.6417800E-08	3.1283228E-07
8	7	7.0424829E-08	7.4862572E-08
8	8	-1.1888272E-07	1.2233200E-07
