Mx	My	Mz	F1	F2
0	0	0	0	0
100000	0	0	-10	0
0	-100000	0	0	10
-100000	0	0	10	0
0	100000	0	0	-10
100000	-100000	0	-10	10
-100000	100000	0	10	-10
100000	100000	0	-10	-10
-100000	-100000	0	10	10
0	0	100000	0	0
100000	0	100000	-10	0
0	-100000	100000	0	10
-100000	0	100000	10	0
0	100000	100000	0	-10
100000	-100000	100000	-10	10
-100000	100000	100000	10	-10
100000	100000	100000	-10	-10
-100000	-100000	100000	10	10
0	0	-100000	0	0
100000	0	-100000	-10	0
0	-100000	-100000	0	10
-100000	0	-100000	10	0
0	100000	-100000	0	-10
100000	-100000	-100000	-10	10
-100000	100000	-100000	10	-10
100000	100000	-100000	-10	-10
-100000	-100000	-100000	10	10
