t(s),Altitude_RockSim(m)
0.78589893,13.89412778
1.331072216,37.03564666
1.807232384,63.95768485
2.219499729,94.78544041
2.559196072,121.7082493
2.819653836,146.676739
3.098640436,174.2837661
3.453746416,210.5595731
3.72235222,239.2057822
4.01827387,271.7258526
4.314195519,303.810413
4.610117169,335.2983843
4.928802022,371.2886335
5.270250079,407.0293001
5.611698136,440.0514901
5.953146193,473.7115523
6.340120657,512.3780101
6.749858326,545.8665244
7.182359198,583.1465992
7.592096866,614.542426
8.024597738,648.0886367
8.525388222,679.1745812
9.026178705,706.533785
9.526969189,732.0443049
10.02775967,757.6405452
10.47474622,775.068168
10.91727564,794.2759076
11.41944641,807.8451427
11.77455239,818.4791517
12.2200313,830.1440284
12.64097547,839.0017017
13.163391,845.8046069
13.7609251,851.4155271
14.29586038,853.8854059
