t(s),AngVelZ_OR_Replicated(rad/s)
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.36964,0
0.37855,0
0.3869,0
0.3894,0.24727
0.3919,0.49812
0.3944,0.75233
0.3969,1.0097
0.3994,1.27
0.4019,1.5329
0.4044,1.7984
0.4069,2.0661
0.4094,2.3358
0.4119,2.6073
0.4144,2.8805
0.4169,3.155
0.4194,3.4306
0.4219,3.7071
0.4244,3.9844
0.4269,4.2622
0.4294,4.5402
0.4319,4.8183
0.4344,5.0963
0.4369,5.374
0.4394,5.6511
0.4419,5.9275
0.4444,6.203
0.4469,6.4775
0.4494,6.7509
0.4519,7.0232
0.4544,7.2943
0.4569,7.5641
0.4594,7.8327
0.4619,8.0999
0.4644,8.3657
0.4669,8.63
0.4694,8.8929
0.4719,9.1542
0.4744,9.4138
0.4769,9.6719
0.4794,9.9282
0.4819,10.183
0.4844,10.436
0.4869,10.687
0.4894,10.936
0.4919,11.183
0.4944,11.429
0.4969,11.672
0.4994,11.914
0.5019,12.153
0.5044,12.391
0.5069,12.626
0.5094,12.86
0.5119,13.091
0.5144,13.32
0.5169,13.548
0.5194,13.773
0.5219,13.997
0.5244,14.218
0.5269,14.437
0.5294,14.655
0.5319,14.87
0.5344,15.084
0.5369,15.295
0.5394,15.504
0.5419,15.712
0.5444,15.917
0.5469,16.12
0.5494,16.322
0.5519,16.521
0.5544,16.719
0.5569,16.914
0.5594,17.108
0.5619,17.3
0.5644,17.489
0.5669,17.677
0.5694,17.863
0.5719,18.047
0.5744,18.229
0.5769,18.409
0.5794,18.587
0.5819,18.763
0.5844,18.938
0.5869,19.111
0.5894,19.282
0.5919,19.451
0.5944,19.618
0.5969,19.784
0.5994,19.948
0.6019,20.11
0.6044,20.271
0.6069,20.429
0.6094,20.587
0.6119,20.742
0.6144,20.896
0.6169,21.048
0.6194,21.199
0.6219,21.348
0.6244,21.495
0.6269,21.641
0.6294,21.786
0.6319,21.929
0.6344,22.07
0.6369,22.21
0.6394,22.349
0.6419,22.486
0.6444,22.621
0.6469,22.756
0.6494,22.889
0.6519,23.02
0.6544,23.151
0.6569,23.28
0.6594,23.407
0.6619,23.534
0.6644,23.659
0.6669,23.783
0.6694,23.906
0.6719,24.028
0.6744,24.148
0.6769,24.267
0.6794,24.385
0.6819,24.503
0.6844,24.618
0.6869,24.733
0.6894,24.847
0.6919,24.96
0.6944,25.071
0.6969,25.182
0.6994,25.291
0.7019,25.4
0.7044,25.507
0.7069,25.614
0.7094,25.719
0.7119,25.824
0.7144,25.928
0.7169,26.03
0.7194,26.132
0.7219,26.233
0.7244,26.333
0.7269,26.432
0.7294,26.53
0.7319,26.628
0.7344,26.724
0.7369,26.82
0.7394,26.915
0.7419,27.009
0.7444,27.102
0.7469,27.195
0.7494,27.287
0.7519,27.378
0.7544,27.468
0.7569,27.558
0.7594,27.647
0.7619,27.735
0.7644,27.823
0.7669,27.91
0.7694,27.996
0.7719,28.081
0.7744,28.166
0.7769,28.251
0.7794,28.335
0.7819,28.418
0.7844,28.5
0.7869,28.583
0.7894,28.664
0.7919,28.745
0.7944,28.826
0.7969,28.906
0.7994,28.985
0.8019,29.065
0.8044,29.143
0.8069,29.221
0.8094,29.299
0.8119,29.376
0.8144,29.453
0.8169,29.53
0.8194,29.605
0.8219,29.681
0.8244,29.756
0.8269,29.831
0.8294,29.905
0.8319,29.979
0.8344,30.053
0.8369,30.126
0.8394,30.199
0.8419,30.272
0.8444,30.344
0.8469,30.416
0.8494,30.487
0.8519,30.559
0.8544,30.63
0.8569,30.7
0.8594,30.771
0.8619,30.841
0.8644,30.911
0.8669,30.981
0.8694,31.05
0.8719,31.119
0.8744,31.188
0.8769,31.257
0.8794,31.325
0.8819,31.393
0.8844,31.461
0.8869,31.529
0.8894,31.597
0.8919,31.664
0.8944,31.731
0.8969,31.798
0.8994,31.865
0.9019,31.931
0.9044,31.998
0.9069,32.064
0.9094,32.13
0.9119,32.195
0.9144,32.261
0.9169,32.326
0.9194,32.391
0.9219,32.456
0.9244,32.521
0.9269,32.586
0.9294,32.65
0.9319,32.715
0.9344,32.779
0.9369,32.843
0.9394,32.907
0.9419,32.97
0.9444,33.034
0.9469,33.097
0.9494,33.161
0.9519,33.224
0.9544,33.287
0.9569,33.35
0.9594,33.412
0.9619,33.475
0.9644,33.537
0.9669,33.6
0.9694,33.662
0.9719,33.724
0.9744,33.786
0.9769,33.848
0.9794,33.91
0.9819,33.971
0.9844,34.033
0.9869,34.094
0.9894,34.156
0.9919,34.217
0.9944,34.278
0.9969,34.339
0.9994,34.4
1.0019,34.46
1.0044,34.521
1.0069,34.582
1.0094,34.642
1.0119,34.702
1.0144,34.763
1.0169,34.823
1.0194,34.883
1.0219,34.943
1.0244,35.002
1.0269,35.062
1.0294,35.122
1.0319,35.181
1.0344,35.241
1.0369,35.3
1.0394,35.359
1.0419,35.418
1.0444,35.477
1.0469,35.536
1.0494,35.595
1.0519,35.653
1.0544,35.712
1.0569,35.77
1.0594,35.829
1.0619,35.887
1.0644,35.945
1.0669,36.003
1.0694,36.061
1.0719,36.119
1.0744,36.177
1.0769,36.235
1.0794,36.292
1.0819,36.35
1.0844,36.407
1.0869,36.465
1.0894,36.522
1.0919,36.579
1.0944,36.636
1.0969,36.693
1.0994,36.75
1.1019,36.807
1.1044,36.864
1.1069,36.921
1.1094,36.977
1.1119,37.034
1.1144,37.09
1.1169,37.147
1.1194,37.203
1.1219,37.259
1.1244,37.315
1.1269,37.371
1.1294,37.427
1.1319,37.483
1.1344,37.539
1.1369,37.595
1.1394,37.65
1.1419,37.706
1.1444,37.761
1.1469,37.817
1.1494,37.872
1.1519,37.928
1.1544,37.983
1.1569,38.038
1.1594,38.093
1.1619,38.148
1.1644,38.203
1.1669,38.258
1.1694,38.313
1.1719,38.367
1.1744,38.422
1.1769,38.477
1.1794,38.531
1.1819,38.585
1.1844,38.64
1.1869,38.694
1.1894,38.748
1.1919,38.802
1.1944,38.856
1.1969,38.91
1.1994,38.964
1.2019,39.018
1.2044,39.072
1.2069,39.125
1.2094,39.179
1.2119,39.233
1.2144,39.286
1.2169,39.34
1.2194,39.393
1.2219,39.446
1.2244,39.5
1.2269,39.553
1.2294,39.606
1.2319,39.659
1.2344,39.712
1.2369,39.765
1.2394,39.818
1.2419,39.871
1.2444,39.924
1.2469,39.977
1.2494,40.03
1.2519,40.082
1.2544,40.135
1.2569,40.188
1.2594,40.24
1.2619,40.293
1.2644,40.345
1.2669,40.397
1.2694,40.45
1.2719,40.502
1.2744,40.554
1.2769,40.606
1.2794,40.658
1.2819,40.71
1.2844,40.762
1.2869,40.814
1.2894,40.866
1.2919,40.918
1.2944,40.969
1.2969,41.021
1.2994,41.073
1.3019,41.124
1.3044,41.176
1.3069,41.227
1.3094,41.279
1.3119,41.33
1.3144,41.381
1.3169,41.433
1.3194,41.484
1.3219,41.535
1.3244,41.586
1.3269,41.638
1.3294,41.689
1.3319,41.74
1.3344,41.791
1.3369,41.841
1.3394,41.892
1.3419,41.943
