AOA,Cy_CFD
-4.517001247,-0.296196706
-2.353551962,-0.150705972
-0.392210351,-0.028493756
1.712532519,0.107297596
4.235130957,0.279132331
6.084287946,0.327015547
8.11779976,0.374353921
10.14163823,0.367111715
12.54956207,0.220457055
14.8791687,0.056753037
17.02608699,-0.141653216
19.58486167,-0.395633336
21.58078821,-0.500530359
24.33112855,-0.594291054
26.20087403,-0.514136437
28.89283053,-0.266694418
30.76292413,-0.152403364
32.83764199,-0.087336675
34.66147112,-0.039809702
37.16246993,0.000604391
39.53950413,0.017713024
