AOA,Cy_WT
-3.479014662,-0.048531372
-1.318941322,0.038354384
1.473095438,-0.015140305
3.292673061,-0.006245789
5.698556162,0.06716716
7.446759303,0.041346377
9.275415377,-0.190346053
11.46830456,-0.327383557
13.47842012,-0.449909309
16.55420772,-0.609333335
18.59443146,-0.700953246
21.73652862,-0.799118026
23.61771048,-0.818108335
25.85498386,-0.83555914
27.72643951,-0.798529296
29.75254804,-0.707511883
31.74095417,-0.505579622
33.56479907,-0.284471572
35.75435182,-0.107503281
37.76181721,0.019389138
39.40453011,0.100509059
