# Windrose Data Table (Percent Frequency) for SUFFIELD AIRPORT (CYSD)
# Observations Used/Missing/Total: 1161/0/1161
# Period: 10 Apr 2007 - 30 Apr 2014
# Hour Limiter: All included
# Month Limiter: (4,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:43 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     1.29,    0.431,    0.172,    0.172,    0.431,    0.517,    0.431
000-020  ,         ,    0.431,    0.172,    0.258,    0.603,    0.431,    0.172
010-030  ,         ,    0.000,    0.431,    0.172,    0.258,    0.258,    0.258
020-040  ,         ,    0.086,    0.172,    0.517,    0.603,    0.775,    0.000
030-050  ,         ,    0.603,    0.172,    0.172,    0.603,    0.431,    0.086
040-060  ,         ,    0.172,    0.172,    0.172,    0.517,    0.517,    0.000
050-070  ,         ,    0.431,    0.431,    0.603,    0.345,    0.345,    0.258
060-080  ,         ,    0.258,    0.258,    0.086,    0.172,    0.172,    0.086
070-090  ,         ,    0.345,    0.345,    0.172,    0.172,    0.345,    0.000
080-100  ,         ,    0.517,    0.258,    0.345,    0.603,    0.172,    0.000
090-110  ,         ,    0.258,    0.345,    0.603,    1.292,    0.517,    0.172
100-120  ,         ,    0.345,    0.258,    0.431,    1.292,    0.258,    0.258
110-130  ,         ,    0.345,    0.258,    0.603,    1.292,    0.258,    0.258
120-140  ,         ,    0.086,    0.258,    0.345,    0.517,    0.000,    0.000
130-150  ,         ,    0.345,    0.775,    0.086,    0.258,    0.172,    0.172
140-160  ,         ,    0.345,    0.172,    0.172,    0.775,    0.000,    0.172
150-170  ,         ,    0.258,    0.345,    0.689,    0.603,    0.258,    0.000
160-180  ,         ,    0.086,    0.086,    0.258,    0.345,    0.258,    0.603
170-190  ,         ,    0.086,    0.517,    0.345,    0.086,    0.172,    0.603
180-200  ,         ,    0.431,    0.345,    0.172,    0.345,    0.431,    0.517
190-210  ,         ,    0.258,    0.431,    0.345,    0.431,    0.172,    0.431
200-220  ,         ,    0.431,    0.517,    0.603,    0.689,    0.517,    0.086
210-230  ,         ,    0.258,    0.345,    0.345,    0.517,    0.689,    0.172
220-240  ,         ,    0.775,    0.775,    0.603,    0.775,    0.258,    0.345
230-250  ,         ,    0.431,    0.603,    0.861,    0.861,    0.689,    0.345
240-260  ,         ,    0.603,    0.431,    0.603,    1.120,    0.517,    0.603
250-270  ,         ,    0.689,    0.603,    0.775,    1.464,    0.517,    0.861
260-280  ,         ,    1.206,    1.034,    0.689,    1.637,    0.431,    0.431
270-290  ,         ,    0.775,    0.689,    0.517,    1.206,    0.258,    0.431
280-300  ,         ,    0.431,    0.345,    0.517,    1.206,    0.258,    0.517
290-310  ,         ,    0.603,    0.517,    0.517,    1.550,    0.258,    0.603
300-320  ,         ,    0.345,    0.258,    0.345,    0.517,    0.172,    0.861
310-330  ,         ,    0.603,    0.258,    0.603,    1.292,    0.603,    1.206
320-340  ,         ,    0.345,    0.517,    0.603,    1.120,    0.861,    0.689
330-350  ,         ,    0.086,    0.345,    0.431,    1.034,    0.603,    0.689
340-360  ,         ,    0.345,    0.431,    0.345,    1.809,    1.034,    0.775
