# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 10590/396/10986
# Period: 1 Aug 2007 - 1 Sep 2019
# Hour Limiter: All included
# Month Limiter: (8,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     4.92,    0.652,    0.463,    0.425,    0.689,    0.123,    0.085
000-020  ,         ,    0.793,    0.699,    0.519,    0.765,    0.123,    0.038
010-030  ,         ,    0.500,    0.453,    0.406,    0.548,    0.066,    0.019
020-040  ,         ,    0.689,    0.604,    0.340,    0.397,    0.076,    0.000
030-050  ,         ,    0.529,    0.397,    0.255,    0.415,    0.076,    0.009
040-060  ,         ,    1.058,    0.897,    0.274,    0.434,    0.085,    0.000
050-070  ,         ,    0.737,    0.718,    0.604,    0.434,    0.085,    0.009
060-080  ,         ,    0.925,    0.774,    0.510,    0.378,    0.028,    0.000
070-090  ,         ,    0.699,    0.737,    0.510,    0.557,    0.047,    0.000
080-100  ,         ,    0.699,    0.463,    0.397,    0.604,    0.038,    0.028
090-110  ,         ,    0.576,    0.510,    0.302,    0.368,    0.057,    0.009
100-120  ,         ,    0.576,    0.387,    0.189,    0.236,    0.028,    0.009
110-130  ,         ,    0.434,    0.208,    0.264,    0.161,    0.009,    0.019
120-140  ,         ,    0.406,    0.208,    0.113,    0.113,    0.000,    0.000
130-150  ,         ,    0.425,    0.217,    0.113,    0.085,    0.057,    0.009
140-160  ,         ,    0.406,    0.208,    0.104,    0.113,    0.094,    0.094
150-170  ,         ,    0.557,    0.208,    0.132,    0.142,    0.094,    0.066
160-180  ,         ,    0.614,    0.331,    0.123,    0.331,    0.094,    0.028
170-190  ,         ,    0.982,    0.576,    0.208,    0.293,    0.189,    0.019
180-200  ,         ,    1.114,    0.699,    0.321,    0.425,    0.161,    0.066
190-210  ,         ,    1.218,    0.935,    0.614,    0.718,    0.113,    0.057
200-220  ,         ,    1.171,    1.237,    1.095,    1.539,    0.179,    0.057
210-230  ,         ,    1.473,    1.398,    1.199,    1.596,    0.179,    0.038
220-240  ,         ,    1.379,    1.643,    1.039,    1.331,    0.217,    0.161
230-250  ,         ,    1.086,    1.313,    0.916,    0.982,    0.255,    0.198
240-260  ,         ,    0.973,    0.897,    0.642,    0.774,    0.246,    0.264
250-270  ,         ,    0.500,    0.689,    0.661,    1.048,    0.397,    0.264
260-280  ,         ,    0.510,    0.614,    0.604,    1.020,    0.378,    0.227
270-290  ,         ,    0.321,    0.614,    0.623,    1.010,    0.302,    0.179
280-300  ,         ,    0.331,    0.387,    0.463,    0.689,    0.255,    0.132
290-310  ,         ,    0.387,    0.453,    0.415,    1.076,    0.368,    0.142
300-320  ,         ,    0.349,    0.387,    0.425,    1.161,    0.491,    0.085
310-330  ,         ,    0.415,    0.453,    0.463,    1.180,    0.378,    0.208
320-340  ,         ,    0.246,    0.255,    0.368,    0.708,    0.463,    0.161
330-350  ,         ,    0.444,    0.331,    0.368,    0.519,    0.198,    0.179
340-360  ,         ,    0.472,    0.378,    0.161,    0.500,    0.331,    0.047
