# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 13499/239/13738
# Period: 1 Jan 2007 - 1 Jan 2020
# Hour Limiter: All included
# Month Limiter: (12,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     4.48,    0.956,    0.733,    0.704,    1.000,    0.252,    0.148
000-020  ,         ,    1.267,    1.045,    0.415,    0.800,    0.282,    0.067
010-030  ,         ,    0.763,    0.741,    0.304,    0.407,    0.200,    0.022
020-040  ,         ,    0.637,    0.385,    0.244,    0.378,    0.126,    0.030
030-050  ,         ,    0.637,    0.267,    0.311,    0.296,    0.022,    0.000
040-060  ,         ,    0.689,    0.437,    0.237,    0.326,    0.037,    0.000
050-070  ,         ,    0.919,    0.874,    0.289,    0.482,    0.148,    0.000
060-080  ,         ,    0.800,    0.659,    0.274,    0.407,    0.030,    0.000
070-090  ,         ,    0.593,    0.363,    0.259,    0.215,    0.007,    0.000
080-100  ,         ,    0.533,    0.200,    0.156,    0.215,    0.037,    0.000
090-110  ,         ,    0.304,    0.104,    0.074,    0.052,    0.007,    0.000
100-120  ,         ,    0.207,    0.067,    0.015,    0.007,    0.000,    0.000
110-130  ,         ,    0.274,    0.074,    0.000,    0.000,    0.000,    0.000
120-140  ,         ,    0.267,    0.037,    0.000,    0.000,    0.000,    0.000
130-150  ,         ,    0.274,    0.044,    0.007,    0.007,    0.000,    0.000
140-160  ,         ,    0.222,    0.052,    0.000,    0.022,    0.000,    0.000
150-170  ,         ,    0.452,    0.081,    0.007,    0.015,    0.007,    0.000
160-180  ,         ,    0.430,    0.148,    0.037,    0.089,    0.030,    0.022
170-190  ,         ,    0.563,    0.230,    0.178,    0.230,    0.148,    0.104
180-200  ,         ,    0.741,    0.519,    0.370,    0.607,    0.163,    0.126
190-210  ,         ,    1.000,    0.822,    0.696,    1.504,    0.733,    0.363
200-220  ,         ,    1.222,    1.141,    1.119,    2.830,    1.556,    0.459
210-230  ,         ,    1.245,    1.600,    1.674,    3.089,    0.911,    0.348
220-240  ,         ,    1.163,    1.519,    1.659,    2.348,    0.444,    0.126
230-250  ,         ,    0.948,    0.889,    0.845,    1.148,    0.089,    0.096
240-260  ,         ,    0.785,    0.859,    0.482,    0.452,    0.178,    0.504
250-270  ,         ,    0.859,    0.570,    0.459,    0.704,    0.356,    0.511
260-280  ,         ,    0.607,    0.541,    0.548,    0.807,    0.259,    0.178
270-290  ,         ,    0.422,    0.652,    0.437,    0.778,    0.200,    0.141
280-300  ,         ,    0.430,    0.578,    0.437,    0.956,    0.356,    0.178
290-310  ,         ,    0.504,    0.704,    0.570,    0.993,    0.170,    0.052
300-320  ,         ,    0.444,    0.556,    0.548,    0.696,    0.170,    0.104
310-330  ,         ,    0.444,    0.733,    0.578,    0.800,    0.207,    0.111
320-340  ,         ,    0.526,    0.630,    0.548,    0.911,    0.356,    0.111
330-350  ,         ,    0.748,    0.430,    0.444,    0.556,    0.126,    0.133
340-360  ,         ,    0.926,    0.548,    0.467,    0.563,    0.163,    0.096
