# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 13861/237/14098
# Period: 1 Jan 2007 - 30 Jan 2020
# Hour Limiter: All included
# Month Limiter: (1,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     4.13,    0.967,    1.061,    0.707,    1.263,    0.548,    0.260
000-020  ,         ,    1.003,    0.808,    0.577,    0.808,    0.180,    0.036
010-030  ,         ,    0.527,    0.368,    0.310,    0.289,    0.014,    0.000
020-040  ,         ,    0.635,    0.325,    0.137,    0.260,    0.014,    0.000
030-050  ,         ,    0.440,    0.195,    0.115,    0.216,    0.058,    0.000
040-060  ,         ,    0.440,    0.375,    0.289,    0.216,    0.043,    0.000
050-070  ,         ,    0.678,    0.678,    0.433,    0.368,    0.051,    0.007
060-080  ,         ,    0.577,    0.570,    0.375,    0.296,    0.022,    0.000
070-090  ,         ,    0.534,    0.404,    0.332,    0.137,    0.014,    0.000
080-100  ,         ,    0.426,    0.310,    0.209,    0.144,    0.007,    0.000
090-110  ,         ,    0.354,    0.115,    0.087,    0.058,    0.000,    0.000
100-120  ,         ,    0.317,    0.065,    0.014,    0.014,    0.000,    0.000
110-130  ,         ,    0.296,    0.014,    0.000,    0.007,    0.000,    0.000
120-140  ,         ,    0.209,    0.022,    0.014,    0.007,    0.000,    0.000
130-150  ,         ,    0.180,    0.051,    0.014,    0.000,    0.007,    0.000
140-160  ,         ,    0.224,    0.043,    0.007,    0.000,    0.000,    0.000
150-170  ,         ,    0.346,    0.072,    0.022,    0.000,    0.000,    0.000
160-180  ,         ,    0.447,    0.108,    0.101,    0.065,    0.065,    0.036
170-190  ,         ,    0.541,    0.303,    0.115,    0.152,    0.087,    0.051
180-200  ,         ,    0.801,    0.556,    0.317,    0.346,    0.137,    0.123
190-210  ,         ,    0.837,    0.657,    0.519,    1.111,    0.592,    0.339
200-220  ,         ,    1.241,    1.003,    1.270,    2.633,    1.284,    0.758
210-230  ,         ,    1.046,    1.659,    1.941,    3.528,    1.248,    0.592
220-240  ,         ,    0.945,    1.371,    1.955,    3.066,    0.635,    0.368
230-250  ,         ,    0.895,    0.750,    0.844,    1.320,    0.253,    0.274
240-260  ,         ,    0.613,    0.433,    0.375,    0.678,    0.260,    0.577
250-270  ,         ,    0.447,    0.354,    0.339,    0.729,    0.483,    0.563
260-280  ,         ,    0.274,    0.390,    0.455,    0.996,    0.534,    0.527
270-290  ,         ,    0.440,    0.375,    0.512,    1.010,    0.455,    0.180
280-300  ,         ,    0.382,    0.462,    0.418,    0.801,    0.368,    0.209
290-310  ,         ,    0.354,    0.469,    0.462,    0.786,    0.339,    0.260
300-320  ,         ,    0.368,    0.491,    0.404,    0.628,    0.152,    0.101
310-330  ,         ,    0.397,    0.390,    0.491,    1.010,    0.556,    0.332
320-340  ,         ,    0.512,    0.519,    0.649,    1.176,    0.714,    0.750
330-350  ,         ,    0.678,    0.534,    0.440,    0.786,    0.657,    0.830
340-360  ,         ,    0.844,    0.743,    0.317,    0.671,    0.346,    0.180
