# Windrose Data Table (Percent Frequency) for SUFFIELD AIRPORT (CYSD)
# Observations Used/Missing/Total: 1428/0/1428
# Period: 2 Jan 2007 - 23 Jan 2015
# Hour Limiter: All included
# Month Limiter: (1,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:43 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     1.61,    0.070,    0.350,    0.350,    0.140,    0.140,    0.210
000-020  ,         ,    0.280,    0.350,    0.070,    0.210,    0.000,    0.350
010-030  ,         ,    0.560,    0.420,    0.070,    0.210,    0.210,    0.140
020-040  ,         ,    0.700,    0.560,    0.140,    0.280,    0.070,    0.070
030-050  ,         ,    0.210,    0.350,    0.140,    0.070,    0.000,    0.070
040-060  ,         ,    0.140,    0.210,    0.000,    0.000,    0.000,    0.000
050-070  ,         ,    0.210,    0.000,    0.280,    0.070,    0.000,    0.000
060-080  ,         ,    0.210,    0.070,    0.210,    0.000,    0.140,    0.000
070-090  ,         ,    0.070,    0.350,    0.420,    0.630,    0.350,    0.000
080-100  ,         ,    0.140,    0.000,    0.350,    0.420,    0.000,    0.000
090-110  ,         ,    0.280,    0.210,    0.420,    0.910,    0.000,    0.000
100-120  ,         ,    0.420,    0.630,    0.630,    1.190,    0.140,    0.000
110-130  ,         ,    0.280,    0.630,    0.630,    0.070,    0.000,    0.000
120-140  ,         ,    0.210,    0.210,    0.000,    0.070,    0.000,    0.000
130-150  ,         ,    0.210,    0.280,    0.210,    0.070,    0.000,    0.000
140-160  ,         ,    0.070,    0.280,    0.350,    0.000,    0.000,    0.000
150-170  ,         ,    0.070,    0.210,    0.210,    0.000,    0.000,    0.000
160-180  ,         ,    0.070,    0.560,    0.350,    0.630,    0.140,    0.070
170-190  ,         ,    0.070,    0.140,    0.490,    0.840,    0.070,    0.280
180-200  ,         ,    0.070,    0.280,    0.490,    0.910,    0.350,    0.210
190-210  ,         ,    0.420,    0.420,    0.980,    1.611,    0.980,    0.280
200-220  ,         ,    1.190,    0.630,    0.840,    1.611,    1.331,    0.350
210-230  ,         ,    0.210,    0.910,    0.770,    1.120,    0.840,    0.350
220-240  ,         ,    0.280,    1.471,    0.980,    1.261,    0.490,    0.210
230-250  ,         ,    0.770,    1.261,    1.331,    2.101,    0.420,    0.700
240-260  ,         ,    0.420,    0.700,    1.261,    1.331,    0.840,    1.471
250-270  ,         ,    0.630,    1.120,    1.120,    2.451,    1.050,    1.401
260-280  ,         ,    0.980,    0.770,    1.261,    1.050,    0.420,    0.350
270-290  ,         ,    0.770,    0.910,    0.420,    0.910,    0.280,    0.280
280-300  ,         ,    0.630,    0.700,    0.350,    0.700,    0.210,    0.000
290-310  ,         ,    0.280,    0.350,    0.560,    0.980,    0.420,    0.000
300-320  ,         ,    0.140,    0.420,    0.280,    0.910,    0.420,    0.420
310-330  ,         ,    0.070,    0.210,    0.140,    0.490,    0.560,    0.980
320-340  ,         ,    0.770,    0.980,    0.210,    0.630,    0.560,    2.241
330-350  ,         ,    0.350,    0.490,    0.350,    0.560,    0.840,    2.031
340-360  ,         ,    0.420,    0.630,    0.210,    0.700,    0.490,    1.401
