# Windrose Data Table (Percent Frequency) for SUFFIELD AIRPORT (CYSD)
# Observations Used/Missing/Total: 1312/0/1312
# Period: 3 Jul 2007 - 31 Jul 2014
# Hour Limiter: All included
# Month Limiter: (7,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:43 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     1.83,    0.076,    0.229,    0.381,    0.534,    0.076,    0.000
000-020  ,         ,    0.229,    0.305,    0.229,    0.838,    0.076,    0.000
010-030  ,         ,    0.305,    0.457,    0.152,    0.457,    0.229,    0.000
020-040  ,         ,    0.229,    0.381,    0.152,    0.076,    0.076,    0.076
030-050  ,         ,    0.305,    0.076,    0.152,    0.152,    0.076,    0.000
040-060  ,         ,    0.381,    0.229,    0.229,    0.534,    0.076,    0.000
050-070  ,         ,    0.152,    0.305,    0.534,    0.838,    0.000,    0.000
060-080  ,         ,    0.610,    0.381,    0.229,    0.381,    0.000,    0.000
070-090  ,         ,    0.152,    0.381,    0.457,    0.991,    0.152,    0.152
080-100  ,         ,    0.610,    0.076,    0.610,    0.534,    0.229,    0.000
090-110  ,         ,    0.686,    0.305,    0.991,    0.915,    0.381,    0.076
100-120  ,         ,    0.686,    0.838,    0.762,    1.524,    0.152,    0.229
110-130  ,         ,    0.610,    1.143,    0.610,    0.838,    0.152,    0.229
120-140  ,         ,    0.457,    0.686,    0.457,    0.610,    0.000,    0.000
130-150  ,         ,    0.229,    0.686,    0.152,    0.610,    0.152,    0.076
140-160  ,         ,    0.457,    0.838,    0.762,    0.457,    0.076,    0.076
150-170  ,         ,    0.457,    0.381,    0.534,    0.534,    0.152,    0.000
160-180  ,         ,    0.915,    0.381,    0.381,    0.838,    0.152,    0.000
170-190  ,         ,    0.610,    0.610,    0.229,    0.686,    0.305,    0.076
180-200  ,         ,    0.610,    0.229,    0.457,    1.372,    0.229,    0.152
190-210  ,         ,    0.991,    0.686,    0.610,    1.372,    0.534,    0.076
200-220  ,         ,    0.457,    0.610,    0.762,    0.686,    0.534,    0.229
210-230  ,         ,    0.686,    0.305,    0.534,    1.296,    0.076,    0.000
220-240  ,         ,    0.610,    0.305,    0.686,    0.686,    0.305,    0.381
230-250  ,         ,    0.534,    0.762,    0.381,    0.915,    0.152,    0.610
240-260  ,         ,    0.534,    0.457,    0.457,    1.067,    0.534,    1.067
250-270  ,         ,    0.762,    0.762,    0.381,    1.296,    0.686,    0.610
260-280  ,         ,    0.305,    0.610,    0.381,    0.686,    0.610,    0.381
270-290  ,         ,    0.381,    0.229,    0.610,    0.915,    0.152,    0.381
280-300  ,         ,    0.305,    0.686,    0.305,    0.915,    0.305,    0.229
290-310  ,         ,    0.610,    0.610,    0.457,    1.601,    0.610,    0.381
300-320  ,         ,    0.305,    0.457,    0.305,    1.067,    0.838,    0.076
310-330  ,         ,    0.838,    0.381,    0.381,    0.686,    1.067,    0.381
320-340  ,         ,    0.610,    0.457,    0.305,    1.220,    0.915,    0.534
330-350  ,         ,    0.229,    0.381,    0.610,    0.762,    0.991,    0.229
340-360  ,         ,    0.457,    0.305,    0.610,    0.610,    0.229,    0.152
