# Windrose Data Table (Percent Frequency) for SCHULER AGDM     (CXSC)
# Observations Used/Missing/Total: 9261/0/9261
# Period: 1 Jun 2007 - 1 Jul 2019
# Hour Limiter: All included
# Month Limiter: (6,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:49 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     3.87,    0.346,    0.335,    0.270,    0.432,    0.140,    0.097
000-020  ,         ,    0.443,    0.324,    0.205,    0.410,    0.097,    0.011
010-030  ,         ,    0.497,    0.313,    0.173,    0.346,    0.097,    0.043
020-040  ,         ,    0.443,    0.302,    0.270,    0.378,    0.065,    0.086
030-050  ,         ,    0.432,    0.270,    0.205,    0.421,    0.248,    0.076
040-060  ,         ,    0.421,    0.205,    0.227,    0.421,    0.119,    0.076
050-070  ,         ,    0.454,    0.162,    0.216,    0.540,    0.032,    0.032
060-080  ,         ,    0.486,    0.302,    0.378,    0.432,    0.130,    0.130
070-090  ,         ,    0.615,    0.540,    0.400,    0.594,    0.108,    0.065
080-100  ,         ,    0.626,    0.583,    0.508,    1.058,    0.281,    0.086
090-110  ,         ,    0.788,    0.464,    0.497,    1.101,    0.227,    0.054
100-120  ,         ,    0.745,    0.454,    0.432,    0.734,    0.140,    0.076
110-130  ,         ,    0.561,    0.497,    0.313,    0.734,    0.130,    0.032
120-140  ,         ,    0.615,    0.583,    0.302,    0.551,    0.227,    0.076
130-150  ,         ,    0.648,    0.410,    0.248,    0.529,    0.184,    0.032
140-160  ,         ,    0.659,    0.378,    0.281,    0.367,    0.076,    0.032
150-170  ,         ,    0.626,    0.572,    0.227,    0.346,    0.151,    0.022
160-180  ,         ,    0.615,    0.346,    0.410,    0.302,    0.119,    0.011
170-190  ,         ,    0.583,    0.680,    0.367,    0.270,    0.032,    0.022
180-200  ,         ,    0.486,    0.367,    0.367,    0.259,    0.076,    0.022
190-210  ,         ,    0.475,    0.410,    0.464,    0.410,    0.119,    0.043
200-220  ,         ,    0.475,    0.486,    0.454,    0.810,    0.151,    0.086
210-230  ,         ,    0.443,    0.540,    0.443,    1.436,    0.432,    0.162
220-240  ,         ,    0.378,    0.292,    0.669,    2.343,    0.734,    0.346
230-250  ,         ,    0.248,    0.335,    0.929,    2.959,    0.810,    0.669
240-260  ,         ,    0.238,    0.518,    0.864,    2.624,    0.983,    0.508
250-270  ,         ,    0.292,    0.572,    1.069,    2.365,    0.745,    0.497
260-280  ,         ,    0.356,    0.540,    0.821,    1.760,    0.529,    0.410
270-290  ,         ,    0.270,    0.529,    0.637,    1.479,    0.583,    0.335
280-300  ,         ,    0.367,    0.400,    0.583,    1.447,    0.497,    0.227
290-310  ,         ,    0.281,    0.400,    0.605,    1.296,    0.680,    0.432
300-320  ,         ,    0.292,    0.378,    0.486,    1.091,    0.561,    0.378
310-330  ,         ,    0.270,    0.410,    0.389,    0.853,    0.389,    0.410
320-340  ,         ,    0.292,    0.356,    0.292,    0.475,    0.367,    0.259
330-350  ,         ,    0.292,    0.227,    0.216,    0.551,    0.216,    0.194
340-360  ,         ,    0.335,    0.346,    0.238,    0.561,    0.140,    0.130
