# Windrose Data Table (Percent Frequency) for SUFFIELD AIRPORT (CYSD)
# Observations Used/Missing/Total: 1323/0/1323
# Period: 1 Jun 2007 - 30 Jun 2014
# Hour Limiter: All included
# Month Limiter: (6,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:43 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     0.83,    0.151,    0.151,    0.302,    0.756,    0.000,    0.302
000-020  ,         ,    0.151,    0.227,    0.076,    0.378,    0.454,    0.302
010-030  ,         ,    0.000,    0.076,    0.227,    0.227,    0.076,    0.076
020-040  ,         ,    0.151,    0.378,    0.000,    0.529,    0.151,    0.076
030-050  ,         ,    0.227,    0.227,    0.151,    0.378,    0.227,    0.151
040-060  ,         ,    0.076,    0.227,    0.302,    0.756,    0.378,    0.227
050-070  ,         ,    0.151,    0.227,    0.454,    1.361,    0.680,    0.227
060-080  ,         ,    0.529,    0.151,    0.302,    0.605,    0.076,    0.000
070-090  ,         ,    0.151,    0.454,    0.151,    0.907,    0.302,    0.227
080-100  ,         ,    0.227,    0.378,    0.151,    0.831,    0.000,    0.076
090-110  ,         ,    0.302,    0.302,    0.454,    1.361,    0.680,    0.227
100-120  ,         ,    0.378,    0.605,    0.454,    1.436,    0.227,    0.076
110-130  ,         ,    0.605,    0.680,    0.454,    0.983,    0.302,    0.000
120-140  ,         ,    0.378,    0.000,    0.529,    0.227,    0.000,    0.000
130-150  ,         ,    0.605,    0.529,    0.302,    0.378,    0.076,    0.000
140-160  ,         ,    0.302,    0.302,    0.378,    0.529,    0.151,    0.076
150-170  ,         ,    0.529,    0.831,    0.378,    0.227,    0.000,    0.000
160-180  ,         ,    0.529,    0.378,    0.378,    0.680,    0.227,    0.151
170-190  ,         ,    0.302,    0.378,    0.227,    0.378,    0.227,    0.302
180-200  ,         ,    0.302,    0.605,    0.378,    0.454,    0.302,    0.076
190-210  ,         ,    0.378,    0.605,    0.529,    0.907,    0.151,    0.076
200-220  ,         ,    0.605,    0.529,    0.907,    0.907,    0.076,    0.151
210-230  ,         ,    0.378,    0.605,    0.680,    0.907,    0.151,    0.227
220-240  ,         ,    0.529,    0.680,    0.227,    0.831,    0.680,    0.227
230-250  ,         ,    0.907,    0.680,    0.756,    1.058,    0.756,    0.378
240-260  ,         ,    0.378,    0.756,    0.907,    0.907,    1.209,    0.907
250-270  ,         ,    0.680,    0.680,    0.680,    1.512,    1.512,    0.907
260-280  ,         ,    0.529,    0.302,    0.605,    1.058,    0.605,    0.378
270-290  ,         ,    0.454,    0.831,    0.680,    1.134,    0.605,    0.378
280-300  ,         ,    0.302,    0.378,    0.529,    1.361,    0.302,    0.378
290-310  ,         ,    0.529,    1.058,    0.680,    1.663,    1.209,    0.529
300-320  ,         ,    0.227,    0.529,    0.529,    1.436,    0.454,    0.529
310-330  ,         ,    0.076,    0.529,    0.378,    1.209,    0.605,    0.756
320-340  ,         ,    0.302,    0.227,    0.227,    1.814,    0.831,    0.680
330-350  ,         ,    0.151,    0.302,    0.151,    0.605,    0.454,    0.151
340-360  ,         ,    0.529,    0.151,    0.227,    0.605,    0.302,    0.529
