# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 12200/274/12474
# Period: 1 Mar 2007 - 31 Mar 2019
# Hour Limiter: All included
# Month Limiter: (3,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     4.45,    1.098,    0.943,    0.648,    1.025,    0.205,    0.221
000-020  ,         ,    1.041,    0.754,    0.533,    0.893,    0.049,    0.197
010-030  ,         ,    1.016,    0.549,    0.385,    0.352,    0.033,    0.041
020-040  ,         ,    0.738,    0.590,    0.361,    0.369,    0.041,    0.008
030-050  ,         ,    0.566,    0.459,    0.459,    0.451,    0.041,    0.008
040-060  ,         ,    0.770,    0.574,    0.434,    0.598,    0.057,    0.000
050-070  ,         ,    0.902,    0.770,    0.574,    1.066,    0.074,    0.000
060-080  ,         ,    0.893,    0.811,    0.828,    1.090,    0.131,    0.000
070-090  ,         ,    0.795,    0.615,    0.443,    0.689,    0.107,    0.000
080-100  ,         ,    0.746,    0.443,    0.377,    0.246,    0.082,    0.025
090-110  ,         ,    0.500,    0.311,    0.213,    0.139,    0.057,    0.000
100-120  ,         ,    0.344,    0.189,    0.066,    0.139,    0.008,    0.000
110-130  ,         ,    0.213,    0.057,    0.049,    0.066,    0.008,    0.000
120-140  ,         ,    0.295,    0.107,    0.074,    0.041,    0.000,    0.008
130-150  ,         ,    0.328,    0.107,    0.049,    0.066,    0.033,    0.000
140-160  ,         ,    0.213,    0.139,    0.025,    0.066,    0.033,    0.016
150-170  ,         ,    0.328,    0.107,    0.074,    0.090,    0.057,    0.049
160-180  ,         ,    0.361,    0.164,    0.131,    0.320,    0.148,    0.164
170-190  ,         ,    0.566,    0.303,    0.164,    0.459,    0.189,    0.123
180-200  ,         ,    0.648,    0.434,    0.344,    0.623,    0.197,    0.139
190-210  ,         ,    0.770,    0.639,    0.590,    1.164,    0.492,    0.197
200-220  ,         ,    0.959,    0.803,    0.926,    2.377,    0.918,    0.574
210-230  ,         ,    0.967,    1.025,    1.615,    2.656,    1.000,    0.533
220-240  ,         ,    0.984,    1.279,    1.557,    2.090,    0.590,    0.516
230-250  ,         ,    0.852,    0.689,    0.648,    0.910,    0.352,    0.525
240-260  ,         ,    0.713,    0.516,    0.336,    0.557,    0.336,    0.631
250-270  ,         ,    0.525,    0.402,    0.279,    0.664,    0.270,    0.344
260-280  ,         ,    0.574,    0.484,    0.287,    0.730,    0.303,    0.139
270-290  ,         ,    0.590,    0.443,    0.467,    0.508,    0.246,    0.156
280-300  ,         ,    0.451,    0.369,    0.393,    0.549,    0.098,    0.123
290-310  ,         ,    0.287,    0.361,    0.459,    0.607,    0.180,    0.139
300-320  ,         ,    0.320,    0.393,    0.295,    0.516,    0.213,    0.164
310-330  ,         ,    0.361,    0.418,    0.344,    0.639,    0.377,    0.074
320-340  ,         ,    0.410,    0.385,    0.475,    0.746,    0.557,    0.221
330-350  ,         ,    0.746,    0.516,    0.402,    0.746,    0.484,    0.303
340-360  ,         ,    0.844,    0.648,    0.525,    0.746,    0.320,    0.295
