# Windrose Data Table (Percent Frequency) for SCHULER AGDM     (CXSC)
# Observations Used/Missing/Total: 9545/1/9546
# Period: 1 Mar 2007 - 31 Mar 2019
# Hour Limiter: All included
# Month Limiter: (3,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:49 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     5.67,    0.367,    0.272,    0.272,    0.398,    0.084,    0.084
000-020  ,         ,    0.262,    0.346,    0.230,    0.367,    0.126,    0.157
010-030  ,         ,    0.388,    0.314,    0.168,    0.283,    0.052,    0.052
020-040  ,         ,    0.419,    0.335,    0.230,    0.482,    0.031,    0.042
030-050  ,         ,    0.398,    0.283,    0.272,    0.283,    0.042,    0.021
040-060  ,         ,    0.492,    0.251,    0.168,    0.367,    0.105,    0.010
050-070  ,         ,    0.639,    0.325,    0.189,    0.618,    0.084,    0.000
060-080  ,         ,    0.681,    0.409,    0.325,    0.838,    0.126,    0.010
070-090  ,         ,    0.891,    0.618,    0.461,    0.712,    0.199,    0.105
080-100  ,         ,    0.859,    0.534,    0.513,    1.121,    0.482,    0.388
090-110  ,         ,    1.016,    0.450,    0.524,    1.100,    0.293,    0.063
100-120  ,         ,    0.838,    0.503,    0.304,    0.681,    0.126,    0.063
110-130  ,         ,    0.660,    0.398,    0.388,    0.629,    0.073,    0.021
120-140  ,         ,    0.566,    0.262,    0.304,    0.608,    0.147,    0.094
130-150  ,         ,    0.723,    0.356,    0.147,    0.367,    0.126,    0.084
140-160  ,         ,    0.608,    0.272,    0.105,    0.262,    0.094,    0.063
150-170  ,         ,    0.744,    0.189,    0.220,    0.189,    0.073,    0.042
160-180  ,         ,    0.639,    0.283,    0.210,    0.272,    0.042,    0.010
170-190  ,         ,    0.702,    0.304,    0.293,    0.409,    0.031,    0.010
180-200  ,         ,    0.545,    0.262,    0.325,    0.367,    0.094,    0.021
190-210  ,         ,    0.492,    0.440,    0.293,    0.566,    0.094,    0.042
200-220  ,         ,    0.377,    0.272,    0.409,    1.006,    0.409,    0.168
210-230  ,         ,    0.398,    0.210,    0.304,    1.519,    0.870,    0.723
220-240  ,         ,    0.304,    0.304,    0.367,    2.158,    2.022,    1.289
230-250  ,         ,    0.304,    0.272,    0.576,    2.452,    1.854,    1.226
240-260  ,         ,    0.272,    0.283,    0.629,    2.776,    1.456,    0.702
250-270  ,         ,    0.210,    0.377,    0.712,    2.598,    1.037,    0.356
260-280  ,         ,    0.210,    0.335,    0.503,    1.530,    0.346,    0.199
270-290  ,         ,    0.157,    0.272,    0.534,    1.069,    0.461,    0.147
280-300  ,         ,    0.251,    0.272,    0.398,    1.320,    0.346,    0.178
290-310  ,         ,    0.241,    0.283,    0.377,    1.257,    0.314,    0.178
300-320  ,         ,    0.199,    0.251,    0.440,    0.859,    0.398,    0.335
310-330  ,         ,    0.241,    0.398,    0.482,    0.964,    0.471,    0.482
320-340  ,         ,    0.230,    0.199,    0.325,    0.691,    0.398,    0.335
330-350  ,         ,    0.251,    0.230,    0.293,    0.681,    0.199,    0.115
340-360  ,         ,    0.199,    0.346,    0.220,    0.367,    0.157,    0.094
