# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 11413/392/11805
# Period: 1 May 2007 - 1 Jun 2019
# Hour Limiter: All included
# Month Limiter: (5,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:21 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     3.45,    0.648,    0.526,    0.613,    1.411,    0.368,    0.175
000-020  ,         ,    0.675,    0.675,    0.727,    0.990,    0.193,    0.131
010-030  ,         ,    0.622,    0.613,    0.359,    0.596,    0.096,    0.044
020-040  ,         ,    0.613,    0.526,    0.447,    0.666,    0.044,    0.018
030-050  ,         ,    0.421,    0.499,    0.412,    0.999,    0.114,    0.018
040-060  ,         ,    0.789,    0.657,    0.499,    0.745,    0.096,    0.026
050-070  ,         ,    0.902,    0.710,    0.429,    0.596,    0.096,    0.018
060-080  ,         ,    0.797,    0.736,    0.631,    0.666,    0.114,    0.035
070-090  ,         ,    0.578,    0.613,    0.561,    0.789,    0.105,    0.018
080-100  ,         ,    0.727,    0.517,    0.473,    0.832,    0.245,    0.044
090-110  ,         ,    0.622,    0.447,    0.368,    0.657,    0.166,    0.079
100-120  ,         ,    0.517,    0.307,    0.245,    0.403,    0.123,    0.070
110-130  ,         ,    0.386,    0.368,    0.228,    0.315,    0.096,    0.070
120-140  ,         ,    0.272,    0.245,    0.210,    0.403,    0.053,    0.026
130-150  ,         ,    0.412,    0.210,    0.175,    0.237,    0.061,    0.044
140-160  ,         ,    0.333,    0.263,    0.219,    0.324,    0.166,    0.044
150-170  ,         ,    0.333,    0.315,    0.280,    0.386,    0.228,    0.061
160-180  ,         ,    0.412,    0.350,    0.298,    0.421,    0.219,    0.088
170-190  ,         ,    0.683,    0.421,    0.237,    0.552,    0.210,    0.140
180-200  ,         ,    0.876,    0.429,    0.394,    0.570,    0.368,    0.061
190-210  ,         ,    0.832,    0.456,    0.412,    0.657,    0.377,    0.079
200-220  ,         ,    0.824,    0.841,    0.701,    1.192,    0.350,    0.096
210-230  ,         ,    0.920,    1.122,    0.981,    1.472,    0.342,    0.123
220-240  ,         ,    0.911,    1.086,    0.973,    1.051,    0.280,    0.210
230-250  ,         ,    0.613,    0.745,    0.666,    0.701,    0.350,    0.359
240-260  ,         ,    0.561,    0.359,    0.333,    0.824,    0.386,    0.429
250-270  ,         ,    0.429,    0.263,    0.289,    0.850,    0.429,    0.298
260-280  ,         ,    0.543,    0.421,    0.456,    0.815,    0.421,    0.298
270-290  ,         ,    0.272,    0.333,    0.386,    0.938,    0.272,    0.175
280-300  ,         ,    0.298,    0.324,    0.386,    0.946,    0.324,    0.123
290-310  ,         ,    0.333,    0.613,    0.412,    1.078,    0.272,    0.237
300-320  ,         ,    0.272,    0.464,    0.421,    1.025,    0.377,    0.640
310-330  ,         ,    0.482,    0.438,    0.622,    0.885,    0.280,    0.289
320-340  ,         ,    0.324,    0.473,    0.578,    0.885,    0.438,    0.333
330-350  ,         ,    0.508,    0.421,    0.508,    0.867,    0.386,    0.403
340-360  ,         ,    0.543,    0.447,    0.377,    0.780,    0.333,    0.123
