# Windrose Data Table (Percent Frequency) for SCHULER AGDM     (CXSC)
# Observations Used/Missing/Total: 9445/6/9451
# Period: 1 May 2007 - 1 Jun 2019
# Hour Limiter: All included
# Month Limiter: (5,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:49 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     3.83,    0.466,    0.360,    0.360,    0.635,    0.392,    0.318
000-020  ,         ,    0.286,    0.339,    0.434,    0.603,    0.212,    0.159
010-030  ,         ,    0.434,    0.360,    0.318,    0.603,    0.286,    0.095
020-040  ,         ,    0.381,    0.349,    0.360,    0.508,    0.116,    0.042
030-050  ,         ,    0.413,    0.349,    0.318,    0.635,    0.191,    0.053
040-060  ,         ,    0.349,    0.275,    0.275,    0.741,    0.307,    0.032
050-070  ,         ,    0.455,    0.275,    0.296,    0.646,    0.307,    0.053
060-080  ,         ,    0.551,    0.307,    0.275,    0.625,    0.148,    0.106
070-090  ,         ,    0.625,    0.455,    0.445,    1.016,    0.159,    0.095
080-100  ,         ,    0.805,    0.519,    0.572,    1.091,    0.434,    0.116
090-110  ,         ,    0.699,    0.424,    0.508,    1.218,    0.593,    0.360
100-120  ,         ,    0.593,    0.476,    0.244,    0.794,    0.381,    0.296
110-130  ,         ,    0.455,    0.191,    0.434,    0.678,    0.222,    0.275
120-140  ,         ,    0.466,    0.307,    0.233,    0.815,    0.413,    0.169
130-150  ,         ,    0.445,    0.286,    0.371,    0.858,    0.328,    0.169
140-160  ,         ,    0.593,    0.265,    0.349,    0.603,    0.148,    0.064
150-170  ,         ,    0.487,    0.445,    0.392,    0.519,    0.222,    0.021
160-180  ,         ,    0.455,    0.392,    0.614,    0.688,    0.201,    0.042
170-190  ,         ,    0.529,    0.487,    0.625,    0.476,    0.138,    0.064
180-200  ,         ,    0.392,    0.455,    0.445,    0.561,    0.191,    0.021
190-210  ,         ,    0.360,    0.339,    0.402,    0.731,    0.159,    0.074
200-220  ,         ,    0.328,    0.296,    0.455,    0.805,    0.275,    0.106
210-230  ,         ,    0.318,    0.318,    0.402,    1.260,    0.434,    0.180
220-240  ,         ,    0.169,    0.212,    0.402,    1.578,    0.815,    0.296
230-250  ,         ,    0.328,    0.222,    0.466,    2.043,    0.646,    0.508
240-260  ,         ,    0.233,    0.233,    0.519,    1.821,    0.783,    0.582
250-270  ,         ,    0.191,    0.328,    0.371,    1.461,    0.625,    0.360
260-280  ,         ,    0.233,    0.318,    0.434,    1.239,    0.413,    0.339
270-290  ,         ,    0.296,    0.307,    0.381,    0.911,    0.402,    0.296
280-300  ,         ,    0.275,    0.148,    0.328,    0.974,    0.286,    0.286
290-310  ,         ,    0.254,    0.307,    0.519,    1.196,    0.434,    0.349
300-320  ,         ,    0.254,    0.508,    0.540,    1.387,    0.445,    0.307
310-330  ,         ,    0.212,    0.487,    0.498,    1.218,    0.466,    0.635
320-340  ,         ,    0.339,    0.360,    0.519,    0.974,    0.551,    0.508
330-350  ,         ,    0.349,    0.381,    0.360,    0.762,    0.614,    0.244
340-360  ,         ,    0.402,    0.275,    0.360,    0.794,    0.529,    0.212
