# Windrose Data Table (Percent Frequency) for SUFFIELD AIRPORT (CYSD)
# Observations Used/Missing/Total: 1261/0/1261
# Period: 1 May 2007 - 29 May 2014
# Hour Limiter: All included
# Month Limiter: (5,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:43 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     1.19,    0.238,    0.397,    0.476,    1.190,    0.714,    0.793
000-020  ,         ,    0.238,    0.238,    0.079,    1.031,    0.793,    0.476
010-030  ,         ,    0.555,    0.317,    0.000,    0.397,    0.714,    0.238
020-040  ,         ,    0.000,    0.159,    0.079,    0.476,    0.317,    0.079
030-050  ,         ,    0.159,    0.000,    0.079,    0.397,    0.079,    0.000
040-060  ,         ,    0.317,    0.159,    0.238,    1.269,    0.159,    0.000
050-070  ,         ,    0.476,    0.079,    0.555,    1.031,    0.555,    0.079
060-080  ,         ,    0.317,    0.476,    0.159,    0.714,    0.238,    0.238
070-090  ,         ,    0.238,    0.317,    0.634,    0.793,    0.634,    0.397
080-100  ,         ,    0.476,    0.317,    0.714,    0.476,    0.634,    0.079
090-110  ,         ,    0.159,    0.793,    0.555,    1.824,    0.555,    0.555
100-120  ,         ,    0.317,    0.555,    0.555,    1.427,    0.397,    0.317
110-130  ,         ,    0.397,    0.555,    0.476,    0.952,    0.238,    0.317
120-140  ,         ,    0.079,    0.159,    0.238,    0.317,    0.079,    0.000
130-150  ,         ,    0.159,    0.634,    0.317,    0.555,    0.317,    0.079
140-160  ,         ,    0.000,    0.317,    0.397,    0.714,    0.317,    0.238
150-170  ,         ,    0.000,    0.317,    0.476,    0.793,    1.031,    0.159
160-180  ,         ,    0.238,    0.079,    0.476,    0.238,    0.476,    0.397
170-190  ,         ,    0.317,    0.476,    0.317,    0.476,    0.555,    0.000
180-200  ,         ,    0.159,    0.476,    0.397,    1.507,    0.476,    0.079
190-210  ,         ,    0.317,    0.317,    0.079,    1.110,    0.317,    0.079
200-220  ,         ,    0.397,    0.317,    0.634,    0.872,    1.031,    0.079
210-230  ,         ,    0.159,    0.238,    0.397,    0.872,    0.317,    0.476
220-240  ,         ,    0.238,    0.159,    0.634,    0.317,    0.079,    0.397
230-250  ,         ,    0.159,    0.238,    0.079,    0.952,    0.397,    0.872
240-260  ,         ,    0.317,    0.317,    0.555,    0.872,    0.634,    1.110
250-270  ,         ,    0.634,    0.476,    0.634,    0.714,    1.110,    0.397
260-280  ,         ,    0.238,    0.317,    0.000,    0.714,    0.397,    0.397
270-290  ,         ,    0.397,    0.000,    0.634,    0.397,    0.317,    0.634
280-300  ,         ,    0.397,    0.238,    0.397,    0.793,    0.476,    0.397
290-310  ,         ,    0.397,    0.159,    0.317,    0.714,    0.634,    0.476
300-320  ,         ,    0.079,    0.317,    0.238,    0.872,    0.397,    0.317
310-330  ,         ,    0.397,    0.634,    0.555,    0.634,    0.397,    0.476
320-340  ,         ,    0.476,    0.397,    0.238,    1.745,    0.872,    1.427
330-350  ,         ,    0.238,    0.397,    0.634,    1.586,    0.714,    0.952
340-360  ,         ,    0.238,    0.317,    0.317,    2.220,    0.952,    0.397
