# Windrose Data Table (Percent Frequency) for SUFFIELD AIRPORT (CYSD)
# Observations Used/Missing/Total: 1312/0/1312
# Period: 1 Oct 2007 - 30 Oct 2014
# Hour Limiter: All included
# Month Limiter: (10,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:43 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     1.07,    0.000,    0.076,    0.000,    0.305,    0.305,    0.305
000-020  ,         ,    0.152,    0.229,    0.076,    0.000,    0.305,    0.152
010-030  ,         ,    0.152,    0.381,    0.076,    0.229,    0.381,    0.076
020-040  ,         ,    0.305,    0.000,    0.152,    0.686,    0.000,    0.152
030-050  ,         ,    0.152,    0.000,    0.000,    0.305,    0.610,    0.000
040-060  ,         ,    0.000,    0.305,    0.000,    0.152,    0.152,    0.000
050-070  ,         ,    0.305,    0.000,    0.076,    0.229,    0.000,    0.000
060-080  ,         ,    0.152,    0.076,    0.076,    0.152,    0.000,    0.000
070-090  ,         ,    0.076,    0.305,    0.457,    0.534,    0.152,    0.000
080-100  ,         ,    0.229,    0.229,    0.229,    0.305,    0.000,    0.000
090-110  ,         ,    0.152,    0.305,    0.457,    0.838,    0.229,    0.000
100-120  ,         ,    0.152,    0.076,    0.457,    0.915,    0.381,    0.000
110-130  ,         ,    0.457,    0.534,    0.610,    1.372,    0.000,    0.000
120-140  ,         ,    0.534,    0.457,    0.152,    0.305,    0.000,    0.000
130-150  ,         ,    0.381,    0.381,    0.457,    0.534,    0.000,    0.000
140-160  ,         ,    0.534,    0.457,    0.229,    0.229,    0.000,    0.000
150-170  ,         ,    0.229,    0.381,    0.229,    0.229,    0.076,    0.000
160-180  ,         ,    0.152,    0.534,    0.229,    0.686,    0.610,    0.152
170-190  ,         ,    0.000,    0.076,    0.305,    0.457,    0.686,    0.457
180-200  ,         ,    0.381,    0.686,    0.915,    0.991,    0.838,    0.229
190-210  ,         ,    0.229,    0.305,    0.915,    1.905,    0.838,    0.076
200-220  ,         ,    0.381,    1.448,    0.915,    1.448,    0.762,    0.152
210-230  ,         ,    0.305,    0.305,    0.305,    0.991,    0.534,    0.229
220-240  ,         ,    0.534,    0.381,    0.686,    1.143,    0.305,    0.305
230-250  ,         ,    0.534,    0.686,    0.610,    1.372,    0.457,    0.991
240-260  ,         ,    0.991,    0.915,    0.534,    0.686,    0.457,    1.067
250-270  ,         ,    0.534,    0.915,    1.524,    1.524,    0.991,    1.448
260-280  ,         ,    0.991,    0.457,    0.991,    0.229,    0.305,    0.610
270-290  ,         ,    0.610,    0.838,    0.610,    1.220,    0.229,    0.152
280-300  ,         ,    0.457,    0.534,    1.067,    1.143,    0.381,    0.000
290-310  ,         ,    0.762,    0.610,    0.991,    2.287,    0.457,    0.076
300-320  ,         ,    0.457,    0.305,    1.220,    1.448,    0.534,    0.457
310-330  ,         ,    0.381,    0.305,    0.229,    1.677,    1.220,    0.534
320-340  ,         ,    0.457,    0.610,    0.381,    1.753,    1.296,    1.143
330-350  ,         ,    0.305,    0.305,    0.229,    0.991,    0.915,    0.381
340-360  ,         ,    0.229,    0.152,    0.000,    0.991,    0.991,    0.534
