# Windrose Data Table (Percent Frequency) for SCHULER AGDM     (CXSC)
# Observations Used/Missing/Total: 9246/0/9246
# Period: 1 Sep 2007 - 1 Oct 2019
# Hour Limiter: All included
# Month Limiter: (9,)
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:49 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     5.87,    0.465,    0.346,    0.357,    0.454,    0.141,    0.043
000-020  ,         ,    0.498,    0.379,    0.433,    0.519,    0.087,    0.043
010-030  ,         ,    0.433,    0.411,    0.281,    0.476,    0.097,    0.011
020-040  ,         ,    0.389,    0.368,    0.270,    0.519,    0.108,    0.022
030-050  ,         ,    0.519,    0.238,    0.249,    0.346,    0.087,    0.108
040-060  ,         ,    0.487,    0.260,    0.249,    0.573,    0.151,    0.097
050-070  ,         ,    0.519,    0.162,    0.162,    0.638,    0.151,    0.000
060-080  ,         ,    0.487,    0.249,    0.400,    0.541,    0.076,    0.000
070-090  ,         ,    0.714,    0.389,    0.379,    0.389,    0.119,    0.011
080-100  ,         ,    0.995,    0.346,    0.303,    0.562,    0.195,    0.011
090-110  ,         ,    0.898,    0.335,    0.238,    0.498,    0.173,    0.022
100-120  ,         ,    0.649,    0.314,    0.303,    0.411,    0.043,    0.054
110-130  ,         ,    0.714,    0.368,    0.238,    0.314,    0.076,    0.054
120-140  ,         ,    0.562,    0.335,    0.260,    0.508,    0.151,    0.076
130-150  ,         ,    0.714,    0.357,    0.195,    0.508,    0.195,    0.087
140-160  ,         ,    0.725,    0.368,    0.303,    0.270,    0.151,    0.054
150-170  ,         ,    0.562,    0.530,    0.216,    0.454,    0.097,    0.032
160-180  ,         ,    0.779,    0.530,    0.552,    0.292,    0.087,    0.011
170-190  ,         ,    0.800,    0.562,    0.595,    0.314,    0.022,    0.000
180-200  ,         ,    0.735,    0.422,    0.487,    0.270,    0.043,    0.011
190-210  ,         ,    0.638,    0.303,    0.400,    0.443,    0.065,    0.000
200-220  ,         ,    0.422,    0.411,    0.616,    0.854,    0.195,    0.022
210-230  ,         ,    0.433,    0.443,    0.465,    1.763,    0.422,    0.087
220-240  ,         ,    0.335,    0.324,    0.519,    2.617,    1.027,    0.184
230-250  ,         ,    0.216,    0.433,    0.649,    2.704,    1.071,    0.681
240-260  ,         ,    0.368,    0.422,    0.854,    2.790,    0.854,    0.649
250-270  ,         ,    0.314,    0.487,    1.006,    2.412,    0.433,    0.281
260-280  ,         ,    0.314,    0.335,    0.746,    1.785,    0.379,    0.281
270-290  ,         ,    0.270,    0.335,    0.757,    1.384,    0.281,    0.162
280-300  ,         ,    0.184,    0.379,    0.844,    1.395,    0.335,    0.130
290-310  ,         ,    0.270,    0.562,    0.671,    1.092,    0.422,    0.130
300-320  ,         ,    0.303,    0.487,    0.671,    1.060,    0.519,    0.303
310-330  ,         ,    0.389,    0.476,    0.616,    1.082,    0.519,    0.195
320-340  ,         ,    0.357,    0.465,    0.552,    0.681,    0.195,    0.151
330-350  ,         ,    0.476,    0.379,    0.368,    0.498,    0.314,    0.076
340-360  ,         ,    0.411,    0.314,    0.292,    0.411,    0.151,    0.130
