# Windrose Data Table (Percent Frequency) for MEDICINE HAT     (CYXH)
# Observations Used/Missing/Total: 141058/3326/144384
# Period: 31 Dec 2006 - 30 Jan 2020
# Hour Limiter: All included
# Month Limiter: All included
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:14 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     4.16,    0.773,    0.684,    0.595,    0.933,    0.268,    0.135
000-020  ,         ,    0.858,    0.670,    0.532,    0.759,    0.152,    0.084
010-030  ,         ,    0.647,    0.530,    0.351,    0.466,    0.079,    0.027
020-040  ,         ,    0.637,    0.454,    0.300,    0.432,    0.079,    0.022
030-050  ,         ,    0.576,    0.353,    0.295,    0.445,    0.069,    0.018
040-060  ,         ,    0.733,    0.571,    0.357,    0.516,    0.075,    0.006
050-070  ,         ,    0.817,    0.706,    0.469,    0.560,    0.089,    0.016
060-080  ,         ,    0.832,    0.696,    0.496,    0.572,    0.069,    0.015
070-090  ,         ,    0.640,    0.529,    0.396,    0.426,    0.066,    0.016
080-100  ,         ,    0.566,    0.415,    0.342,    0.400,    0.071,    0.021
090-110  ,         ,    0.476,    0.328,    0.218,    0.258,    0.048,    0.018
100-120  ,         ,    0.367,    0.208,    0.123,    0.160,    0.037,    0.011
110-130  ,         ,    0.342,    0.165,    0.083,    0.104,    0.021,    0.011
120-140  ,         ,    0.289,    0.130,    0.080,    0.097,    0.015,    0.005
130-150  ,         ,    0.336,    0.135,    0.076,    0.115,    0.028,    0.013
140-160  ,         ,    0.300,    0.139,    0.070,    0.123,    0.050,    0.025
150-170  ,         ,    0.417,    0.159,    0.114,    0.138,    0.080,    0.036
160-180  ,         ,    0.463,    0.242,    0.150,    0.247,    0.121,    0.070
170-190  ,         ,    0.696,    0.370,    0.209,    0.375,    0.155,    0.094
180-200  ,         ,    0.846,    0.545,    0.392,    0.583,    0.206,    0.113
190-210  ,         ,    0.995,    0.744,    0.588,    1.069,    0.422,    0.196
200-220  ,         ,    1.158,    1.047,    1.048,    2.172,    0.769,    0.378
210-230  ,         ,    1.232,    1.424,    1.453,    2.365,    0.660,    0.313
220-240  ,         ,    1.197,    1.439,    1.416,    1.863,    0.420,    0.297
230-250  ,         ,    0.900,    0.869,    0.769,    1.036,    0.311,    0.337
240-260  ,         ,    0.743,    0.638,    0.452,    0.792,    0.350,    0.491
250-270  ,         ,    0.516,    0.458,    0.421,    0.798,    0.395,    0.383
260-280  ,         ,    0.488,    0.484,    0.496,    0.893,    0.379,    0.283
270-290  ,         ,    0.430,    0.455,    0.471,    0.889,    0.317,    0.177
280-300  ,         ,    0.343,    0.415,    0.447,    0.888,    0.312,    0.186
290-310  ,         ,    0.357,    0.486,    0.532,    1.007,    0.287,    0.178
300-320  ,         ,    0.330,    0.445,    0.477,    0.944,    0.315,    0.216
310-330  ,         ,    0.365,    0.434,    0.469,    1.003,    0.401,    0.226
320-340  ,         ,    0.399,    0.410,    0.442,    0.941,    0.460,    0.319
330-350  ,         ,    0.569,    0.413,    0.409,    0.664,    0.326,    0.282
340-360  ,         ,    0.645,    0.488,    0.359,    0.649,    0.249,    0.137
