# Windrose Data Table (Percent Frequency) for SUFFIELD AIRPORT (CYSD)
# Observations Used/Missing/Total: 14288/0/14288
# Period: 2 Jan 2007 - 31 Mar 2015
# Hour Limiter: All included
# Month Limiter: All included
# Wind Speed Units: miles per hour
# Generated 30 Jan 2020 20:43 UTC, contact: akrherz@iastate.edu
# First value in table is CALM
Direction,     Calm, 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,    20.0+
000-010  ,     1.71,    0.175,    0.203,    0.217,    0.539,    0.308,    0.315
000-020  ,         ,    0.287,    0.203,    0.154,    0.476,    0.357,    0.224
010-030  ,         ,    0.252,    0.343,    0.168,    0.413,    0.301,    0.147
020-040  ,         ,    0.308,    0.343,    0.210,    0.406,    0.147,    0.042
030-050  ,         ,    0.252,    0.224,    0.168,    0.273,    0.147,    0.056
040-060  ,         ,    0.196,    0.217,    0.245,    0.455,    0.196,    0.021
050-070  ,         ,    0.238,    0.224,    0.322,    0.630,    0.245,    0.056
060-080  ,         ,    0.252,    0.266,    0.301,    0.441,    0.112,    0.028
070-090  ,         ,    0.231,    0.336,    0.483,    0.875,    0.259,    0.084
080-100  ,         ,    0.434,    0.287,    0.448,    0.490,    0.133,    0.028
090-110  ,         ,    0.350,    0.511,    0.665,    1.057,    0.266,    0.119
100-120  ,         ,    0.371,    0.644,    0.686,    0.931,    0.168,    0.084
110-130  ,         ,    0.483,    0.693,    0.581,    0.679,    0.098,    0.070
120-140  ,         ,    0.371,    0.350,    0.329,    0.259,    0.028,    0.000
130-150  ,         ,    0.273,    0.483,    0.322,    0.294,    0.070,    0.042
140-160  ,         ,    0.329,    0.399,    0.301,    0.329,    0.084,    0.063
150-170  ,         ,    0.308,    0.385,    0.350,    0.329,    0.245,    0.028
160-180  ,         ,    0.378,    0.427,    0.350,    0.532,    0.273,    0.252
170-190  ,         ,    0.252,    0.399,    0.378,    0.532,    0.378,    0.322
180-200  ,         ,    0.336,    0.518,    0.476,    0.945,    0.371,    0.231
190-210  ,         ,    0.532,    0.497,    0.504,    1.344,    0.553,    0.182
200-220  ,         ,    0.756,    0.728,    0.763,    1.470,    0.693,    0.280
210-230  ,         ,    0.378,    0.455,    0.553,    1.064,    0.392,    0.308
220-240  ,         ,    0.581,    0.714,    0.679,    0.966,    0.301,    0.357
230-250  ,         ,    0.707,    0.826,    0.707,    1.085,    0.378,    0.658
240-260  ,         ,    0.511,    0.700,    0.658,    1.071,    0.623,    1.008
250-270  ,         ,    0.693,    0.875,    0.882,    1.372,    0.798,    0.917
260-280  ,         ,    0.623,    0.609,    0.588,    0.812,    0.427,    0.350
270-290  ,         ,    0.553,    0.609,    0.546,    0.903,    0.329,    0.266
280-300  ,         ,    0.490,    0.553,    0.574,    0.840,    0.252,    0.175
290-310  ,         ,    0.490,    0.630,    0.602,    1.295,    0.497,    0.252
300-320  ,         ,    0.329,    0.392,    0.525,    1.092,    0.441,    0.329
310-330  ,         ,    0.427,    0.427,    0.441,    1.106,    0.714,    0.504
320-340  ,         ,    0.497,    0.483,    0.413,    1.400,    0.784,    0.861
330-350  ,         ,    0.287,    0.385,    0.343,    1.036,    0.707,    0.602
340-360  ,         ,    0.378,    0.329,    0.301,    0.966,    0.504,    0.546
