Mx	My	Mz	F1	F2
0	0	0	0	0
100000	0	0	-1	0
0	-100000	0	0	1
-100000	0	0	1	0
0	100000	0	0	-1
100000	-100000	0	-1	1
-100000	100000	0	1	-1
100000	100000	0	-1	-1
-100000	-100000	0	1	1
0	0	100000	0	0
100000	0	100000	-1	0
0	-100000	100000	0	1
-100000	0	100000	1	0
0	100000	100000	0	-1
100000	-100000	100000	-1	1
-100000	100000	100000	1	-1
100000	100000	100000	-1	-1
-100000	-100000	100000	1	1
0	0	-100000	0	0
100000	0	-100000	-1	0
0	-100000	-100000	0	1
-100000	0	-100000	1	0
0	100000	-100000	0	-1
100000	-100000	-100000	-1	1
-100000	100000	-100000	1	-1
100000	100000	-100000	-1	-1
-100000	-100000	-100000	1	1
