Mx	My	Mz	F1	F2
0	0	0	0	0
5000	0	0	-10	0
0	-5000	0	0	10
-5000	0	0	10	0
0	5000	0	0	-10
5000	-5000	0	-10	10
-5000	5000	0	10	-10
5000	5000	0	-10	-10
-5000	-5000	0	10	10
0	0	5000	0	0
5000	0	5000	-10	0
0	-5000	5000	0	10
-5000	0	5000	10	0
0	5000	5000	0	-10
5000	-5000	5000	-10	10
-5000	5000	5000	10	-10
5000	5000	5000	-10	-10
-5000	-5000	5000	10	10
0	0	-5000	0	0
5000	0	-5000	-10	0
0	-5000	-5000	0	10
-5000	0	-5000	10	0
0	5000	-5000	0	-10
5000	-5000	-5000	-10	10
-5000	5000	-5000	10	-10
5000	5000	-5000	-10	-10
-5000	-5000	-5000	10	10
