Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),CGX(m),CGY(m),CGZ(m),CPZ(m),GravityFX(N),GravityFY(N),GravityFZ(N),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),RollAngle(deg),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,WindX(m/s),WindY(m/s),WindZ(m/s)
0,0.20360770314437393,94.48075675572974,-33.78146838853275,-16.775319155263155,-8.610808784319886,-24.34448133748326,-4.440892098500626e-16,1.225,0.0,0.0,-2.8000000000000003,-3.057352204657853,0.0,0.0,-490.89436128571884,85.0,85.0,0.3,0.15004471331704108,50.0,160.2775161751475,94.48075675572974,-33.78146838853275,-507.669680440982,3495913.8711203192,9.71784593813108,-3.4837955322181675,0.0
0.002,0.20367704510694945,94.47156878484236,-33.70325583818935,783.2367482435113,-8.58735361218207,-24.332638171133716,-4.440857538488996e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0572526719326234,0.0,0.0,-490.8943458772982,85.0,85.0,0.3,0.14998592249699447,50.0,160.31783373043842,94.47156878484236,-33.70325583818935,292.34240236621315,3494544.0951465317,9.723528825364625,-3.478112644984623,0.0
0.003,0.20356779760366167,94.50579792313327,-33.67813938145712,1183.222104720807,-8.583924086634074,-24.349644409243368,-4.440840233271019e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0573401197911014,-0.0006326771282413259,0.0002237822074734696,-490.89433817966955,85.0,85.0,0.3,0.15006014544452234,50.0,160.33797536375482,94.50516524600503,-33.67791559924965,692.3277665411374,3496273.4265310364,9.726370268981396,-3.4752712013678506,0.0
0.008,0.2028641183000365,94.71978092846709,-33.56757539146632,3183.125786383026,-8.575698844882032,-24.46004010662871,-4.440753346858399e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0579278467262365,-0.00449356526831084,0.0015805033190351586,-490.8942994817618,85.0,85.0,0.3,0.15054638515292235,50.0,160.4386799049395,94.71528736319878,-33.56599488814729,2692.2314869012644,3507602.397100586,9.74057748706526,-3.461063983283989,0.0
0.008888888888888889,0.2026560899735899,94.78000554989517,-33.55578602395349,3538.6521476654807,-8.578941619753097,-24.492883729205026,-4.440737780897993e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0581112651706173,-0.005528740880358651,0.001936026631159319,-490.8942924005287,85.0,85.0,0.3,0.15069305485649154,50.0,160.45657224508238,94.7744768090148,-33.55384999732233,3047.757855264952,3511019.6761225876,9.743103214724611,-3.458538255624636,0.0
0.01,0.20236210601179008,94.86543828039916,-33.54460924406807,3983.054911261483,-8.585049465309604,-24.539767705601392,1.738464023345389e-20,1.225,0.0,0.0,-2.8000000000000003,-3.0583740719610906,-0.0070017022840957914,0.0024551732378350717,-490.894283795102,85.0,85.0,0.3,0.1509020686016587,50.0,160.47893998683355,94.85843657811506,-33.542154070830236,3492.160627466381,3515889.5181505475,9.746260374298803,-3.4553810960504445,0.0
0.01,0.20236271390328042,94.86600720675958,-33.544800665020624,3983.0548821704615,-8.58510626391773,-24.53993730368915,-4.440741018065583e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0583743081352117,-0.007036302684672204,0.0024796051764875817,-490.894284059713,85.0,85.0,0.3,0.15090214887051848,50.0,160.47894516460383,94.85897090407491,-33.542321059844134,3492.1605981107487,3515891.3883465324,9.746260374298803,-3.4553810960504445,0.0
0.012040019955543962,0.20178934357148776,95.0325650182221,-33.5275580608336,3982.9729992977223,-8.598273315108084,-24.63177577077139,-4.440705049644769e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0588898090373546,-0.009910979863987868,0.00349079118174102,-490.8942681933876,85.0,85.0,0.3,0.15131202840143854,50.0,160.5200124782419,95.02265403835811,-33.52406726965186,3492.0787311043346,3525441.231896195,9.752056975979572,-3.449584494369676,0.0
0.013060029933315944,0.20150231899831436,95.1148314095777,-33.51852679498363,3982.932021340207,-8.604767704308875,-24.677557018557167,-8.881579092412925e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0591481967715994,-0.012011853375362484,0.004228516717355879,-490.89426018501354,85.0,85.0,0.3,0.15151697335994008,50.0,160.54052925762105,95.10281955620235,-33.514298278266274,3492.0377611551935,3530216.274664466,9.754955276819956,-3.446686193529292,0.0
0.01816007982217585,0.20007726454453978,95.52515772831094,-33.472138220060664,3982.726502929827,-8.636656534882961,-24.906354933051603,9.334162815315019e-20,1.225,0.0,0.0,-2.8000000000000003,-3.060434973786364,-0.023297626937558324,0.008181398738522411,-490.8942198948908,85.0,85.0,0.3,0.15254187705132694,50.0,160.64311810394835,95.50186010137338,-33.46395682132214,3491.832283034936,3554095.656697146,9.769446781021877,-3.4321946893273707,0.0
0.019066755357973166,0.19982506937814754,95.59752361639761,-33.46355737051967,3982.6898677288573,-8.642211771309846,-24.946953635928942,-4.4387647052853816e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0606633521797253,-0.025734285244292228,0.00902555911200554,-490.8942126474738,85.0,85.0,0.3,0.152724110228857,50.0,160.66134584600877,95.57178933115331,-33.45453181140767,3491.7956550813833,3558341.5343360314,9.772023048435551,-3.4296184219136956,0.0
0.02020009977771981,0.19951030041178172,95.68772535945584,-33.45267117604819,3982.6440333072765,-8.64910261455376,-24.997666936946587,1.8835080949034692e-19,1.225,0.0,0.0,-2.8000000000000003,-3.060948666216261,-0.02888773918439203,0.0101299329837841,-490.8942035493515,85.0,85.0,0.3,0.15295190802085548,50.0,160.68413471838275,95.65883762027144,-33.442541243064404,3491.749829757925,3563649.0286372495,9.775243382702646,-3.4263980876466023,0.0
0.02020009977771981,0.1995102975936991,95.68772151036681,-33.452657551411576,3982.6440343533072,-8.649099053748694,-24.997665713843283,-4.4406190691189775e-16,1.225,0.0,0.0,-2.8000000000000003,-3.060948664257898,-0.028828207944129068,0.010121304063911488,-490.89420355300115,85.0,85.0,0.3,0.15295190370882797,50.0,160.68414130264406,95.65889330242268,-33.44253624734767,3491.749830800306,3563648.9281706847,9.775243382702646,-3.4263980876466023,0.0
0.022280982148173,0.1989344433347785,95.85309118839287,-33.43239722318313,3982.5597456833234,-8.661623923775648,-25.090748217456273,3.10534032038754e-20,1.225,0.0,0.0,-2.8000000000000003,-3.06147145678219,-0.03479666315771178,0.01220907689375551,-490.89418676308014,85.0,85.0,0.3,0.1533701902789611,50.0,160.72598475247347,95.81829452523516,-33.42018814628938,3491.6655589202433,3573394.6485649906,9.781156092631424,-3.420485377717824,0.0
0.023321423333399594,0.1986461174707887,95.93468914592542,-33.421834601406935,3982.517564478592,-8.667791193481554,-25.137136533240813,-4.440604153827269e-16,1.225,0.0,0.0,-2.8000000000000003,-3.061733554853739,-0.03848415073841089,0.013496288631850387,-490.8941782239014,85.0,85.0,0.3,0.153579339057926,50.0,160.7468898496041,95.896204995187,-33.408338312775086,3491.6233862546906,3578267.636765292,9.784112447595813,-3.4175290227534347,0.0
0.02852362925953256,0.1972144919720203,96.34146786543178,-33.36769717610041,3982.3060073751267,-8.69800469154786,-25.36891797774816,-4.4397759965474414e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0630389328354757,-0.0577495406846132,0.020208974314097138,-490.8941348956541,85.0,85.0,0.3,0.15462526237312174,50.0,160.8514308462413,96.28371832474717,-33.34748820178631,3491.4118724794725,3602636.7581084394,9.79889422241776,-3.4027472479314893,0.0
0.029448465868622865,0.19696109515088325,96.41314362709915,-33.35771805372557,3982.2682955007062,-8.703254510594382,-25.410033605361235,2.59274400207426e-19,1.225,0.0,0.0,-2.8000000000000003,-3.0632706525273794,-0.06163031958609082,0.0215502518296568,-490.89412701013873,85.0,85.0,0.3,0.15481123275251937,50.0,160.87000664653937,96.35151330751306,-33.33616780189591,3491.3741684905676,3606969.7093639765,9.801522093497216,-3.4001193768520324,0.0
0.030604511629985745,0.19664480750434693,96.50245571056642,-33.345072557657474,3982.221114067506,-8.709759661055028,-25.46138698834355,-4.438379760986552e-16,1.225,0.0,0.0,-2.8000000000000003,-3.0635601597038504,-0.06659567254119406,0.023278807982139445,-490.8941170740124,85.0,85.0,0.3,0.15504370183730337,50.0,160.8932321269161,96.43586003802523,-33.32179374967534,3491.3269969934936,3612386.040803698,9.804806932346537,-3.396834538002711,0.0
